==119== NVPROF is profiling process 119, command: /apps/src/..//bin/10.1/release/bfs-rodinia-2.0-ft ./data/graph4096.txt ./data/graph4096-result.txt
==119== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==119== Profiling application: /apps/src/..//bin/10.1/release/bfs-rodinia-2.0-ft ./data/graph4096.txt ./data/graph4096-result.txt
==119== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,B/s,B/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s,,
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6KernelP4NodePiPbS2_S2_S1_i",120,19.343750,100.000000,88.262318,83.087641,0.103393,0.000000,0.000000,0.000000,0.000000,3.844444,1.000000,0,0,0,0,692,21,0,5,392,50,0.000000,0.000000,0.509859,0.006084,0.687129,0.080165,0.000000,65.641026,100.000000,100.000000,2.153005,0.687129,0.080165,1.496415,0.190869,0.000000,19.545010,0.000000,0.000000,0.000000,0.000000,74.201389,7.589286,564,0,0,0,0,0,0,0,0,0,2476,2732,"Low (1)",29.618621,10.166343,19.462411,0.000000,0.000000,2.305159,38.296603,0.001689,0.000000,0,0,24736,0,4105,4169,32823,0,2730,268,268,841,457,0,0.000000,0.000000,0,180,0.001689,0.147485,21,0,0,0,0,0,"Idle (0)","Low (1)",512,512,180,0,0,0,21,0,0,0,0,0,0,0,0,0,5760,0,0,672,0,0,0,0,0,564,0,0,21,0,0,0,0,0,0,0,160,100.000000,0,128,7.149439,0.106624,0.097738,0.108155,2.701900,0.118448,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,116,0,0.442817,0.000000,"Low (1)","Idle (0)",0,0.000000,3712,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z7Kernel2PbS_S_S_i",121,18.328125,100.000000,92.985401,87.510656,0.109122,0.000000,0.000000,0.000000,0.000000,4.015625,1.000000,0,0,0,0,514,40,0,5,312,53,0.000000,0.000000,2.091391,0.020424,2.091391,0.653560,0.000000,69.565217,0.000000,47.500000,8.365564,2.091391,0.653560,5.097766,0.865967,0.000000,83.655642,0.000000,0.000000,0.000000,0.000000,100.000000,3.125000,512,0,0,0,0,0,0,0,0,0,2346,2602,"Low (1)",36.619092,12.227663,18.193562,0.000000,0.000000,2.785707,29.950342,0.000000,0.000000,0,0,24646,0,4096,4136,32818,0,2592,266,266,808,424,0,0.000000,0.000000,0,128,0.042366,0.181269,40,0,0,0,0,0,"Idle (0)","Low (1)",0,0,128,0,0,0,40,0,0,0,0,0,0,0,0,0,4096,0,0,1280,0,0,0,0,0,512,0,0,40,0,0,0,0,0,0,0,160,11.309524,0,128,10.039113,0.235261,0.277830,0.308148,7.674088,0.286878,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,420,8,6.862377,0.130712,"Low (1)","Idle (0)",0,0.000000,13440,256
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6KernelP4NodePiPbS2_S2_S1_i",124,33.875000,100.000000,51.741236,48.673893,0.059041,0.000000,0.000000,0.000000,0.000000,3.341365,0.866667,0,0,0,0,1664,130,0,5,2918,143,0.000000,0.000000,0.605117,0.035758,1.727457,0.479849,0.000000,39.103870,100.000000,46.153846,3.144857,1.727457,0.479849,10.770767,0.527834,0.000000,18.898673,0.000000,0.000000,0.000000,0.000000,35.029380,7.451923,852,0,0,0,0,0,0,0,0,0,4336,4592,"Low (1)",4.430077,11.429716,60.844703,0.000000,0.000000,2.012384,21.104394,0.017091,0.000000,0,0,25666,0,4156,4566,33148,0,4572,346,346,1238,904,0,0.000000,0.000000,0,468,0.004883,0.156752,130,0,0,0,0,0,"Idle (0)","Low (1)",512,0,498,0,0,0,150,0,0,0,0,0,0,0,0,0,14976,0,0,4160,0,0,0,0,0,852,0,0,130,0,0,0,0,0,0,0,160,88.294314,0,128,18.461234,0.054160,0.077357,0.063268,1.574814,0.067415,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,380,8,1.402636,0.029529,"Low (1)","Idle (0)",0,0.000000,12160,256
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z7Kernel2PbS_S_S_i",125,23.507812,100.000000,73.361167,69.059488,0.085078,0.000000,0.000000,0.000000,0.000000,4.015625,1.000000,0,0,0,0,514,196,0,5,592,209,0.000000,0.000000,1.963303,0.109765,1.963303,3.006307,0.000000,56.451613,100.000000,100.000000,7.853211,1.963303,3.006307,9.080275,3.205705,0.000000,78.532110,0.000000,0.000000,0.000000,0.000000,100.000000,3.651148,512,0,0,0,0,0,0,0,0,0,3009,3265,"Low (1)",4.565289,12.729624,34.233039,0.000000,0.000000,2.971682,44.692619,0.001326,0.000000,0,0,24996,0,4096,4336,33068,0,3216,305,305,1000,580,0,0.000000,0.000000,0,128,0.573645,0.232774,196,0,0,0,0,0,"Idle (0)","Low (1)",2560,24064,128,0,0,0,196,0,0,0,0,0,0,0,0,0,4096,0,0,6272,0,0,0,0,0,512,0,0,232,0,0,0,0,0,0,0,160,100.000000,0,128,10.389290,0.235663,0.223485,0.362375,8.923418,0.223049,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,171,232,2.622850,3.558486,"Low (1)","Idle (0)",0,0.000000,5472,7424
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6KernelP4NodePiPbS2_S2_S1_i",128,103.484375,98.618785,19.458705,18.259758,0.019327,0.000000,0.000000,0.000000,0.000000,3.523198,0.984395,0,0,0,0,7138,757,0,5,2363,786,0.000000,0.000000,1.064146,0.178594,6.679992,2.364074,0.000000,12.029162,77.980365,100.000000,7.716812,6.679992,2.364074,7.379533,2.454640,0.000000,15.989510,0.000000,0.000000,0.000000,0.000000,15.930341,7.554491,2471,0,0,0,0,0,0,0,0,0,13246,13502,"Low (1)",12.560204,10.070247,66.063490,0.000000,0.000000,2.038399,8.889850,0.062831,0.000000,0,0,31044,0,4452,6878,35024,0,13404,724,724,3475,3051,0,0.000000,0.000000,0,2139,0.010094,0.304884,757,0,0,0,0,0,"Idle (0)","Low (1)",0,0,2026,0,0,0,769,0,0,0,0,0,0,0,0,0,68448,0,0,24224,0,0,0,0,0,2471,0,0,748,0,0,0,0,0,0,0,160,83.736188,0,128,27.629851,0.082122,0.143287,0.121093,3.005354,0.133488,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,284,4,0.886918,0.012492,"Low (1)","Idle (0)",0,0.000000,9088,128
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z7Kernel2PbS_S_S_i",129,33.203125,100.000000,55.436765,52.188235,0.060235,0.000000,0.000000,0.000000,0.000000,4.015625,1.000000,0,0,0,0,514,488,0,5,284,501,0.000000,0.000000,1.981661,0.552504,1.981661,7.555082,0.000000,60.103627,0.000000,100.000000,7.926644,1.981661,7.555082,4.396810,7.756345,0.000000,79.266437,0.000000,0.000000,0.000000,0.000000,100.000000,7.313012,512,0,0,0,0,0,0,0,0,0,4250,4506,"Low (1)",24.773021,10.996011,24.657547,0.000000,0.000000,2.510597,32.625253,0.000481,0.000000,0,0,26956,0,4096,5456,34468,0,4384,378,378,1800,872,0,0.000000,0.000000,0,128,3.735103,0.701986,488,0,0,0,0,0,"Idle (0)","Low (1)",0,0,128,0,0,0,488,0,0,0,0,0,0,0,0,0,4096,0,0,15616,0,0,0,0,0,512,0,0,1032,0,0,0,0,0,0,0,160,79.220779,0,128,11.116896,0.238967,0.368572,0.466122,11.337540,0.604427,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,265,25,4.102657,0.387043,"Low (1)","Idle (0)",0,0.000000,8480,800
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6KernelP4NodePiPbS2_S2_S1_i",132,267.101562,89.959373,12.951900,11.880100,0.007488,0.000000,0.000000,0.000000,0.000000,5.383493,1.692619,0,0,0,0,30266,3761,0,5,11416,3774,0.000000,0.000000,3.370354,0.789816,27.324364,10.053506,0.000000,4.552901,100.000000,98.803510,24.972042,27.324364,10.053506,30.516038,10.088256,0.000000,13.686239,0.000000,0.000000,0.000000,0.000000,12.334609,7.856122,9342,0,0,0,0,0,0,0,0,0,34189,34445,"Low (1)",3.025272,9.382219,78.856366,0.000000,0.000000,2.314997,5.810080,0.070802,0.000000,0,0,59893,0,6087,18893,45107,0,34201,1723,1723,12924,8100,0,0.000000,0.000000,0,10222,0.010599,0.529666,3761,0,0,0,0,0,"Idle (0)","Low (1)",512,0,5622,0,0,0,2222,0,0,0,0,0,0,0,0,0,327104,0,0,120352,0,0,0,0,0,9342,0,0,3326,0,0,0,0,0,0,0,160,99.678181,0,128,27.370079,0.182217,0.260549,0.262965,6.527556,0.307649,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,1420,806,3.795793,2.154514,"Low (1)","Idle (0)",0,0.000000,45440,25792
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z7Kernel2PbS_S_S_i",133,34.000000,100.000000,67.779182,63.786765,0.058824,0.000000,0.000000,0.000000,0.000000,4.015625,1.000000,0,0,0,0,514,512,0,5,320,525,0.000000,0.000000,1.948262,2.138522,1.948262,7.793049,0.000000,74.481659,100.000000,87.304688,7.793049,1.948262,7.793049,4.870655,7.990919,0.000000,77.930485,0.000000,0.000000,0.000000,0.000000,100.000000,27.441406,512,0,0,0,0,0,0,0,0,0,4352,4608,"Low (1)",27.699561,12.487835,14.166613,0.000000,0.000000,2.868250,37.180735,0.000000,0.000000,0,0,34768,0,4096,9920,40048,0,4480,384,384,2764,896,0,0.000000,0.000000,0,128,4.770864,0.826142,512,0,0,0,0,0,"Idle (0)","Low (1)",0,0,128,0,0,0,512,0,0,0,0,0,0,0,0,0,4096,0,0,16384,0,0,0,0,0,512,0,0,1996,0,0,0,0,0,0,0,160,89.843750,0,128,8.687716,0.236375,0.525477,0.323006,7.850834,0.730989,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,48,4,0.730598,0.060883,"Low (1)","Idle (0)",0,0.000000,1536,128
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6KernelP4NodePiPbS2_S2_S1_i",136,353.312500,72.631579,25.413497,20.382844,0.005661,0.000000,0.000000,0.000000,0.000000,8.356627,3.162736,0,0,0,0,62541,9387,0,5,31419,9400,0.000000,0.000000,8.801454,1.818373,72.959681,22.090524,0.000000,4.682116,100.000000,99.605838,45.157672,72.959681,22.090524,73.938658,22.121117,0.000000,12.048948,0.000000,0.000000,0.000000,0.000000,12.063450,8.231464,19189,0,0,0,0,0,0,0,0,0,45224,45480,"Low (1)",4.730125,6.692205,83.993645,0.000000,0.000000,2.086034,2.113985,0.064635,0.000000,0,0,153562,0,12248,50975,78190,0,45224,2660,2660,26094,10708,0,0.000000,0.000000,0,31003,0.006244,0.313127,9387,0,0,0,0,0,"Idle (0)","Low (1)",512,512,7484,0,0,0,2968,0,0,0,0,0,0,0,0,0,992096,0,0,300384,0,0,0,0,0,19189,0,0,6649,0,0,0,0,0,0,0,160,99.908393,0,128,29.904128,0.204840,0.283734,0.275951,6.859937,0.313345,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,3606,810,8.486037,1.906181,"Low (1)","Idle (0)",0,0.000000,115392,25920
