==359== NVPROF is profiling process 359, command: /apps/src/..//bin/10.1/release/lud-rodinia-2.0-ft -v -b -i ./data/64.dat
==359== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==359== Profiling application: /apps/src/..//bin/10.1/release/lud-rodinia-2.0-ft -v -b -i ./data/64.dat
==359== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,MB/s,,,,B/s,,
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12lud_diagonalPfii",108,2924.000000,100.000000,22.172110,21.417579,0.001368,1.494118,1.984375,0.000000,0.000000,8.125000,2.000000,508,762,0,0,130,30,0,5,172,43,0.000000,0.000000,0.067089,0.062896,0.067089,0.062896,0.000000,50.000000,100.000000,100.000000,0.067089,0.067089,0.062896,0.360605,0.090151,0.000000,10.734286,0.000000,0.000000,6.390255,4.260170,100.000000,100.000000,32,0,0,0,0,4280,120,2080,0,120,2924,2928,"Low (1)",20.997286,57.927893,0.125993,0.000000,11.150417,5.005815,4.627835,0.096918,8.799213,2440,0,8888,0,1990,5448,1274,0,2372,361,361,891,891,0,0.000000,0.000000,0,32,0.067843,0.000000,30,0,0,0,0,0,"Idle (0)","Low (1)",0,0,16,0,510,0,15,0,256,0,0,0,0,0,0,0,1024,0,0,960,0,0,0,0,0,32,0,0,30,0,0,0,0,0,0,0,160,100.000000,0,1,4.209780,0.015626,0.138743,0.138932,2.813760,0.098085,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",0.000000,0.003357,0.000000,204,0,0.427694,0.000000,"Low (1)","Idle (0)",0,0.000000,6528,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z13lud_perimeterPfii",109,1057.000000,96.296296,50.520341,49.668874,0.002838,1.903509,2.417722,0.000000,0.000000,8.013889,2.000000,573,651,0,0,1154,186,0,5,1424,199,0.000000,0.000000,1.598337,1.032259,1.598337,1.032259,0.000000,50.000000,100.000000,100.000000,1.598337,1.598337,1.032259,7.902888,1.104406,0.000000,28.414877,0.000000,0.000000,14.451629,12.720097,100.000000,100.000000,288,0,0,0,0,34560,768,16896,0,768,3171,3180,"Low (1)",73.523995,15.752923,1.803821,0.000000,1.087174,4.739189,2.844401,0.153092,17.715993,19200,0,12960,0,1920,13200,3120,0,2562,165,165,1071,840,0,0.000000,0.000000,0,288,0.095405,0.000000,186,0,0,0,0,0,"Idle (0)","Low (1)",512,0,144,0,342,0,93,0,237,0,0,0,0,0,0,0,9216,0,0,5952,0,0,0,0,0,288,0,0,186,0,0,0,0,0,0,0,160,100.000000,0,3,10.673415,0.015624,0.066296,0.066484,1.339090,0.093415,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",0.000000,0.065876,0.000000,622,88,3.451964,500.101838,"Low (1)","Idle (0)",0,0.000000,19904,2816
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12lud_internalPfii",110,77.000000,100.000000,100.000000,100.000000,0.025974,1.200000,1.000000,0.000000,0.000000,16.009259,4.000000,144,1728,0,0,3458,288,0,5,1008,301,0.000000,0.000000,12.703111,4.234370,12.703111,4.234370,0.000000,50.000000,44.444444,100.000000,12.703111,12.703111,4.234370,14.820296,4.425505,0.000000,75.277696,0.000000,0.000000,101.624890,8.468741,100.000000,100.000000,864,0,0,0,0,76032,2304,36864,0,0,5544,5688,"Low (1)",20.930348,14.888840,28.398570,0.000000,4.528112,2.052678,27.262457,0.229496,42.307692,39168,0,59904,0,2304,62208,13824,0,4608,72,72,3168,2376,0,0.000000,0.000000,0,864,1.109114,0.600385,288,0,0,0,0,0,"Idle (0)","Low (1)",0,0,216,0,1440,0,72,0,144,0,0,0,0,0,0,0,27648,0,0,9216,0,0,0,0,0,864,0,0,288,0,0,0,0,0,0,0,160,58.333333,0,72,11.514976,0.123376,0.536585,0.550523,11.149826,0.453774,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.297416,0.000000,1952,12,28.699622,180.666471,"Low (1)","Idle (0)",0,0.000000,62464,384
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12lud_diagonalPfii",111,2924.000000,100.000000,22.172110,21.417579,0.001368,1.494118,1.984375,0.000000,0.000000,8.125000,2.000000,508,762,0,0,130,30,0,5,436,59,0.000000,0.000000,0.067298,0.063092,0.067298,0.063092,0.000000,50.000000,0.000000,100.000000,0.067298,0.067298,0.063092,0.916930,0.124080,0.000000,10.767616,0.000000,0.000000,6.410097,4.273398,100.000000,100.000000,32,0,0,0,0,4280,120,2080,0,120,2924,2928,"Low (1)",16.383658,61.505609,0.046311,0.000000,11.845220,5.330863,4.708243,0.102912,8.799213,2440,0,8888,0,1990,5448,1274,0,2372,361,361,891,891,0,0.000000,0.000000,0,32,0.077184,0.000000,30,0,0,0,0,0,"Idle (0)","Low (1)",0,0,16,0,510,0,15,0,256,0,0,0,0,0,0,0,1024,0,0,960,0,0,0,0,0,32,0,0,30,0,0,0,0,0,0,0,160,48.387097,0,1,4.253992,0.015625,0.131522,0.121052,2.451629,0.098065,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",0.000000,0.002998,0.000000,184,4,0.386961,8.614093,"Low (1)","Idle (0)",0,0.000000,5888,128
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z13lud_perimeterPfii",112,1057.000000,96.296296,50.520341,49.668874,0.002838,1.903509,2.417722,0.000000,0.000000,8.020833,2.000000,382,434,0,0,770,124,0,5,336,137,0.000000,0.000000,1.095128,0.707270,1.095128,0.707270,0.000000,50.000000,100.000000,100.000000,1.095128,1.095128,0.707270,1.916475,0.781420,0.000000,29.203424,0.000000,0.000000,9.901786,8.715397,100.000000,100.000000,192,0,0,0,0,23040,512,11264,0,512,2114,2120,"Low (1)",71.711824,17.308114,0.463741,0.000000,1.204995,5.093844,3.950924,0.160666,17.715993,12800,0,8640,0,1280,8800,2080,0,1708,110,110,714,560,0,0.000000,0.000000,0,192,0.105894,0.000000,124,0,0,0,0,0,"Idle (0)","Low (1)",512,0,96,0,228,0,62,0,158,0,0,0,0,0,0,0,6144,0,0,3968,0,0,0,0,0,192,0,0,124,0,0,0,0,0,0,0,160,100.000000,0,2,6.216919,0.015625,0.165272,0.165742,3.338285,0.055104,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",0.000000,0.043146,0.000000,2786,16,15.890769,93.450956,"Low (1)","Idle (0)",0,0.000000,89152,512
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12lud_internalPfii",113,77.000000,100.000000,100.000000,100.000000,0.025974,1.200000,1.000000,0.000000,0.000000,16.020833,4.000000,64,768,0,0,1538,128,0,5,746,157,0.000000,0.000000,5.604354,1.868118,5.604354,1.868118,0.000000,50.000000,33.333333,100.000000,5.604354,5.604354,1.868118,10.887626,2.291364,0.000000,74.724726,0.000000,0.000000,44.834836,3.736236,100.000000,100.000000,384,0,0,0,0,33792,1024,16384,0,0,2464,2528,"Low (1)",12.054627,15.399368,35.032984,0.000000,4.616173,2.823934,28.083924,0.238083,42.307692,17408,0,26624,0,1024,27648,6144,0,2048,32,32,1408,1056,0,0.000000,0.000000,0,384,1.149083,0.601822,128,0,0,0,0,0,"Idle (0)","Low (1)",512,0,96,0,640,0,32,0,64,0,0,0,0,0,0,0,12288,0,0,4096,0,0,0,0,0,384,0,0,128,0,0,0,0,0,0,0,160,50.000000,0,32,5.767951,0.123397,0.406265,0.416818,8.441880,0.286257,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.094620,0.000000,196,0,2.860556,0.000000,"Low (1)","Idle (0)",0,0.000000,6272,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12lud_diagonalPfii",114,2924.000000,100.000000,22.172110,21.417579,0.001368,1.494118,1.984375,0.000000,0.000000,8.125000,2.000000,508,762,0,0,130,30,0,5,544,43,0.000000,0.000000,0.066990,0.062803,0.066990,0.062803,0.000000,50.000000,100.000000,100.000000,0.066990,0.066990,0.062803,1.138836,0.090018,0.000000,10.718452,0.000000,0.000000,6.380829,4.253886,100.000000,100.000000,32,0,0,0,0,4280,120,2080,0,120,2924,2928,"Low (1)",16.394792,61.488190,0.082334,0.000000,11.845829,5.336284,4.672464,0.097772,8.799213,2440,0,8888,0,1990,5448,1274,0,2372,361,361,891,891,0,0.000000,0.000000,0,32,0.082334,0.000000,30,0,0,0,0,0,"Idle (0)","Low (1)",512,0,16,0,510,0,15,0,256,0,0,0,0,0,0,0,1024,0,0,960,0,0,0,0,0,32,0,0,30,0,0,0,0,0,0,0,160,100.000000,0,1,4.283183,0.015626,0.138789,0.130180,2.636493,0.105460,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",0.000000,0.003286,0.000000,4,0,0.008374,0.000000,"Low (1)","Idle (0)",0,0.000000,128,0
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z13lud_perimeterPfii",115,1057.000000,96.296296,50.520341,49.668874,0.002838,1.903509,2.417722,0.000000,0.000000,8.041667,2.000000,191,217,0,0,386,62,0,5,798,75,0.000000,0.000000,0.547145,0.353365,0.547145,0.353365,0.000000,50.000000,0.000000,100.000000,0.547145,0.547145,0.353365,4.548146,0.427457,0.000000,29.181084,0.000000,0.000000,4.947106,4.354365,100.000000,100.000000,96,0,0,0,0,11520,256,5632,0,256,1057,1060,"Low (1)",52.796695,26.437423,3.304678,0.000000,1.830970,9.210673,6.006475,0.256782,17.715993,6400,0,4320,0,640,4400,1040,0,854,55,55,357,280,0,0.000000,0.000000,0,96,0.156302,0.000000,62,0,0,0,0,0,"Idle (0)","Low (1)",512,0,48,0,114,0,31,0,79,0,0,0,0,0,0,0,3072,0,0,1984,0,0,0,0,0,96,0,0,62,0,0,0,0,0,0,0,160,39.240506,0,1,3.840705,0.015625,0.161251,0.067017,1.349813,0.053993,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",0.000000,0.011588,0.000000,84,4,0.478752,23.344867,"Low (1)","Idle (0)",0,0.000000,2688,128
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12lud_internalPfii",116,77.000000,100.000000,100.000000,100.000000,0.025974,1.200000,1.000000,0.000000,0.000000,16.083333,4.000000,16,192,0,0,386,32,0,5,168,45,0.000000,0.000000,1.447886,0.482629,1.447886,0.482629,0.000000,50.000000,100.000000,100.000000,1.447886,1.447886,0.482629,2.533801,0.678697,0.000000,77.220592,0.000000,0.000000,11.583089,0.965257,100.000000,100.000000,96,0,0,0,0,8448,256,4096,0,0,616,632,"Low (1)",4.344744,23.597326,15.009115,0.000000,7.220984,3.250962,43.619607,0.364594,42.307692,4352,0,6656,0,256,6912,1536,0,512,8,8,352,264,0,0.000000,0.000000,0,96,1.681183,0.911485,32,0,0,0,0,0,"Idle (0)","Low (1)",512,0,24,0,160,0,8,0,16,0,0,0,0,0,0,0,3072,0,0,1024,0,0,0,0,0,96,0,0,32,0,0,0,0,0,0,0,160,100.000000,0,8,1.447941,0.123716,0.301222,0.475546,9.631302,0.531333,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.032002,0.000000,158,16,2.382979,247.105895,"Low (1)","Idle (0)",0,0.000000,5056,512
