==439== NVPROF is profiling process 439, command: /apps/src/..//bin/10.1/release/nw-rodinia-2.0-ft 128 10 ./data/result_128_10.txt
==439== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==439== Profiling application: /apps/src/..//bin/10.1/release/nw-rodinia-2.0-ft 128 10 ./data/result_128_10.txt
==439== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,MB/s,,,,B/s,,
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_1PiS_S_iiii",111,744.000000,100.000000,39.919355,38.533266,0.004032,3.250000,3.100000,0.000000,0.000000,7.894737,2.875000,155,455,0,0,150,46,0,5,3398,59,0.000000,0.000000,0.163768,0.145068,0.299202,0.208535,0.000000,35.632184,100.000000,100.000000,0.167734,0.299202,0.208535,15.404364,0.267468,0.000000,23.210814,0.000000,0.000000,8.250719,2.810684,54.734848,69.565217,37,0,0,0,0,0,0,0,0,0,744,747,"Low (1)",16.526643,35.665784,3.901485,0.000000,29.013695,8.378409,6.191737,0.126597,9.349385,0,0,2963,0,1008,2914,2288,0,679,94,94,329,329,0,0.000000,0.000000,0,66,0.195650,0.000000,46,0,0,0,0,0,"Idle (0)","Low (1)",0,512,19,0,140,0,16,0,50,0,0,0,0,0,0,0,2112,0,0,1472,0,0,0,0,0,37,0,0,32,0,0,0,0,0,0,0,160,100.000000,0,1,3.537368,0.015627,0.080138,0.080461,1.828414,0.072481,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,480,12,2.176014,55.705953,"Low (1)","Idle (0)",0,0.000000,15360,384
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_1PiS_S_iiii",112,744.000000,100.000000,39.919355,38.524866,0.004032,3.250000,3.100000,0.000000,0.000000,7.842105,2.875000,310,910,0,0,298,92,0,5,204,105,0.000000,0.000000,0.327486,0.290091,0.598313,0.417006,0.000000,35.632184,2.272727,50.000000,0.335418,0.598313,0.417006,0.924665,0.475931,0.000000,23.207283,0.000000,0.000000,16.498928,5.620514,54.734848,69.565217,74,0,0,0,0,0,0,0,0,0,1488,1494,"Low (1)",24.984806,32.475689,7.171799,0.000000,25.460900,5.885332,3.606159,0.111426,9.349385,0,0,5926,0,2016,5828,4576,0,1358,188,188,658,658,0,0.000000,0.000000,0,132,0.303890,0.000000,92,0,0,0,0,0,"Idle (0)","Low (1)",512,512,38,0,280,0,32,0,100,0,0,0,0,0,0,0,4224,0,0,2944,0,0,0,0,0,74,0,0,64,0,0,0,0,0,0,0,160,21.875000,0,2,7.365328,0.015625,0.054456,0.054771,1.244638,0.049786,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,398,12,1.804004,55.697480,"Low (1)","Idle (0)",0,0.000000,12736,384
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_1PiS_S_iiii",113,744.000000,100.000000,39.919355,38.524866,0.004032,3.250000,3.100000,0.000000,0.000000,7.824561,2.875000,465,1365,0,0,446,138,0,5,262,151,0.000000,0.000000,0.486200,0.430682,0.888282,0.619106,0.000000,35.632184,2.525253,100.000000,0.497976,0.888282,0.619106,1.175404,0.677427,0.000000,22.969726,0.000000,0.000000,24.495059,8.344471,54.734848,69.565217,111,0,0,0,0,0,0,0,0,0,2232,2241,"Low (1)",24.801409,30.900389,7.016319,0.000000,25.103865,5.766610,6.142188,0.109682,9.349385,0,0,8889,0,3024,8742,6864,0,2037,282,282,987,987,0,0.000000,0.000000,0,198,0.159537,0.000000,138,0,0,0,0,0,"Idle (0)","Low (1)",0,0,57,0,420,0,48,0,150,0,0,0,0,0,0,0,6336,0,0,4416,0,0,0,0,0,111,0,0,96,0,0,0,0,0,0,0,160,42.559524,0,3,10.553755,0.015625,0.080656,0.080478,1.828808,0.073152,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,782,12,3.508267,55.127342,"Low (1)","Idle (0)",0,0.000000,25024,384
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_1PiS_S_iiii",114,744.000000,100.000000,39.919355,38.524866,0.004032,3.250000,3.100000,0.000000,0.000000,7.815789,2.875000,620,1820,0,0,594,184,0,5,1400,197,0.000000,0.000000,0.637801,0.564973,1.165257,0.812149,0.000000,35.632184,2.651515,50.000000,0.653250,1.165257,0.812149,6.179391,0.869529,0.000000,22.598917,0.000000,0.000000,32.132836,10.946351,54.734848,69.565217,148,0,0,0,0,0,0,0,0,0,2976,2988,"Low (1)",20.227130,24.367131,6.889872,0.000000,19.095277,26.378259,2.734679,0.079761,9.349385,0,0,11852,0,4032,11656,9152,0,2716,376,376,1316,1316,0,0.000000,0.000000,0,264,0.227890,0.000000,184,0,0,0,0,0,"Idle (0)","Low (1)",0,0,76,0,560,0,64,0,200,0,0,0,0,0,0,0,8448,0,0,5888,0,0,0,0,0,148,0,0,128,0,0,0,0,0,0,0,160,22.098214,0,4,15.570693,0.015625,0.053798,0.054015,1.227449,0.051119,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,192,4,0.847459,18.079133,"Low (1)","Idle (0)",0,0.000000,6144,128
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_1PiS_S_iiii",115,744.000000,100.000000,39.919355,38.524866,0.004032,3.250000,3.100000,0.000000,0.000000,7.810526,2.875000,775,2275,0,0,742,230,0,5,1626,307,0.000000,0.000000,0.751822,0.665974,1.373571,0.957337,0.000000,35.632184,2.727273,97.826087,0.770032,1.373571,0.957337,6.767958,1.277837,0.000000,21.311157,0.000000,0.000000,37.877253,12.903240,54.734848,69.565217,185,0,0,0,0,0,0,0,0,0,3720,3735,"Low (1)",21.051501,23.765399,5.941733,0.000000,19.293374,24.757989,4.982894,0.079775,9.349385,0,0,14815,0,5040,14570,11440,0,3395,470,470,1645,1645,0,0.000000,0.000000,0,330,0.127334,0.000000,230,0,0,0,0,0,"Idle (0)","Low (1)",512,512,95,0,700,0,80,0,250,0,0,0,0,0,0,0,10560,0,0,7360,0,0,0,0,0,185,0,0,160,0,0,0,0,0,0,0,160,41.785714,0,5,9.844841,0.015625,0.054666,0.078781,1.790234,0.071609,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,1162,150,4.836634,639.334737,"Low (1)","Idle (0)",0,0.000000,37184,4800
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_1PiS_S_iiii",116,744.000000,100.000000,39.919355,38.524866,0.004032,3.250000,3.100000,0.000000,0.000000,7.807018,2.875000,930,2730,0,0,890,276,0,5,1639,289,0.000000,0.000000,0.979032,0.867239,1.788681,1.246657,0.000000,35.632184,2.777778,100.000000,1.002746,1.788681,1.246657,7.403153,1.305376,0.000000,23.126385,0.000000,0.000000,49.324244,16.802764,54.734848,69.565217,222,0,0,0,0,0,0,0,0,0,4464,4482,"Low (1)",20.577056,24.547820,6.796092,0.000000,19.296411,25.749381,2.722008,0.081635,9.349385,0,0,17778,0,6048,17484,13728,0,4074,564,564,1974,1974,0,0.000000,0.000000,0,396,0.229598,0.000000,276,0,0,0,0,0,"Idle (0)","Low (1)",0,0,114,0,840,0,96,0,300,0,0,0,0,0,0,0,12672,0,0,8832,0,0,0,0,0,222,0,0,192,0,0,0,0,0,0,0,160,42.708333,0,6,23.311002,0.015625,0.086809,0.087159,1.980631,0.050449,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,197,21,0.889824,97.130818,"Low (1)","Idle (0)",0,0.000000,6304,672
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_1PiS_S_iiii",117,744.000000,100.000000,39.919355,38.533266,0.004032,3.250000,3.100000,0.000000,0.000000,7.804511,2.875000,1085,3185,0,0,1038,322,0,5,1614,335,0.000000,0.000000,1.131911,1.002661,2.067989,1.441326,0.000000,35.632184,2.813853,98.136646,1.159327,2.067989,1.441326,7.224534,1.499516,0.000000,22.917976,0.000000,0.000000,57.026372,19.426566,54.734848,69.565217,259,0,0,0,0,0,0,0,0,0,5208,5229,"Low (1)",12.071030,27.160120,7.611075,0.000000,21.298189,28.489518,3.027737,0.088304,9.349385,0,0,20741,0,7056,20398,16016,0,4753,658,658,2303,2303,0,0.000000,0.000000,0,462,0.254025,0.000000,322,0,0,0,0,0,"Idle (0)","Low (1)",0,512,133,0,980,0,112,0,350,0,0,0,0,0,0,0,14784,0,0,10304,0,0,0,0,0,259,0,0,224,0,0,0,0,0,0,0,160,41.964286,0,7,24.359631,0.015625,0.087450,0.087803,1.995248,0.051291,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,156,76,0.698282,348.353250,"Low (1)","Idle (0)",0,0.000000,4992,2432
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_1PiS_S_iiii",118,744.000000,100.000000,39.919355,38.526966,0.004032,3.250000,3.100000,0.000000,0.000000,7.802632,2.875000,1240,3640,0,0,1186,368,0,5,7796,381,0.000000,0.000000,1.287425,1.140418,2.352112,1.639350,0.000000,35.632184,2.840909,50.000000,1.318608,2.352112,1.639350,34.729283,1.697262,0.000000,22.808353,0.000000,0.000000,64.861258,22.095593,54.734848,69.565217,296,0,0,0,0,0,0,0,0,0,5952,5976,"Low (1)",26.093742,33.626659,3.526465,0.000000,26.373079,6.213608,3.745476,0.106227,9.349385,0,0,23704,0,8064,23312,18304,0,5432,752,752,2632,2632,0,0.000000,0.000000,0,528,0.314746,0.000000,368,0,0,0,0,0,"Idle (0)","Low (1)",0,0,152,0,1120,0,128,0,400,0,0,0,0,0,0,0,16896,0,0,11776,0,0,0,0,0,296,0,0,256,0,0,0,0,0,0,0,160,22.209821,0,8,31.425168,0.015625,0.081945,0.082276,1.869648,0.050541,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,156,24,0.694942,109.480101,"Low (1)","Idle (0)",0,0.000000,4992,768
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z20needle_cuda_shared_2PiS_S_iiii",119,746.000000,100.000000,39.946381,38.555630,0.009383,3.250000,3.100000,0.000000,0.000000,7.804511,2.875000,1085,3185,0,0,1038,322,0,5,2676,335,0.000000,0.000000,1.122804,0.994595,2.051352,1.429730,0.000000,35.632184,2.813853,100.000000,1.150000,2.051352,1.429730,11.881856,1.487452,0.000000,22.733595,0.000000,0.000000,56.567579,19.270274,54.734848,69.565217,259,0,0,0,0,0,0,0,0,0,5222,5271,"Low (1)",27.093603,32.416616,3.831186,0.000000,25.375479,7.420220,3.604889,0.067745,9.349385,0,0,20741,0,7056,20398,16240,0,4725,658,658,2303,2303,0,0.000000,0.000000,0,462,0.190262,0.000000,322,0,0,0,0,0,"Idle (0)","Low (1)",512,0,133,0,980,0,112,0,350,0,0,0,0,0,0,0,14784,0,0,10304,0,0,0,0,0,259,0,0,224,0,0,0,0,0,0,0,160,42.729592,0,7,27.455467,0.015624,0.053081,0.087390,1.958436,0.078337,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,1336,29,5.932047,131.854852,"Low (1)","Idle (0)",0,0.000000,42752,928
