==759== NVPROF is profiling process 759, command: /apps/src/..//bin/10.1/release/streamcluster-rodinia-2.0-ft 3 6 16 1024 1024 100 none output.txt 1 ./data/result_3_6_16_1024_1024_100_none_1.txt
==759== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==759== Profiling application: /apps/src/..//bin/10.1/release/streamcluster-rodinia-2.0-ft 3 6 16 1024 1024 100 none output.txt 1 ./data/result_3_6_16_1024_1024_100_none_1.txt
==759== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,GB/s,GB/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s,,
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",119,218.312500,100.000000,96.754223,91.802355,0.013742,1.000000,1.000000,0.000000,0.000000,15.457386,11.656250,32,512,0,0,10882,746,0,5,6450,759,0.000000,0.000000,19.960680,1.049997,44.586275,5.829190,0.000000,27.854188,35.050824,98.927614,21.253885,44.586275,5.829190,50.399837,5.930772,0.000000,40.007312,0.000000,0.000000,16.002925,1.000183,44.768665,18.012735,2720,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",48.035315,9.023596,16.969128,0.000000,15.113247,2.639928,6.911072,0.293187,3.125000,36864,0,92292,0,6148,39796,30130,0,5602,332,332,3720,1568,0,0.000000,0.000000,0,5706,0.260795,0.753731,746,0,0,0,0,0,"Idle (0)","Low (1)",512,0,704,0,512,0,64,0,32,0,0,0,0,0,0,0,182592,0,0,23872,0,0,0,0,0,2720,0,0,232,0,0,0,0,0,0,0,160,42.436454,0,32,6.632309,0.245384,0.374384,0.379528,7.505359,0.945563,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (2)","Idle (0)",0.000000,0.074434,0.000000,4174,154,32.615337,1.203345,"Low (2)","Idle (0)",0,0.000000,133568,4928
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",128,218.312500,100.000000,96.754223,92.048382,0.013742,1.000000,1.000000,0.000000,0.000000,15.286932,4.500000,32,512,0,0,10762,288,0,5,5238,301,0.000000,0.000000,20.355389,1.246820,38.565291,2.369704,0.000000,30.902778,100.000000,100.000000,22.133696,38.565291,2.369704,43.098996,2.476670,0.000000,42.128076,0.000000,0.000000,16.851230,1.053202,52.781630,52.615017,2690,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",21.562952,13.379471,25.852426,0.000000,29.334250,3.051014,5.214617,0.339108,3.125000,36864,0,92292,0,6148,39247,31228,0,5602,332,332,3714,1568,0,0.000000,0.000000,0,4687,0.316182,0.949979,288,0,0,0,0,0,"Idle (0)","Low (1)",0,0,704,0,512,0,64,0,32,0,0,0,0,0,0,0,149984,0,0,9216,0,0,0,0,0,2690,0,0,256,0,0,0,0,0,0,0,160,100.000000,0,32,7.090221,0.243230,0.356574,0.361474,7.148326,1.009576,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.069673,0.000000,156,22,1.283590,0.181019,"Low (1)","Idle (0)",0,0.000000,4992,704
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",137,218.312500,100.000000,96.755117,91.869453,0.013742,1.000000,1.000000,0.000000,0.000000,15.457386,4.500000,32,512,0,0,10882,288,0,5,6104,301,0.000000,0.000000,20.471859,1.128031,41.256018,2.336165,0.000000,29.363828,100.000000,97.222222,22.063777,41.256018,2.336165,49.513711,2.441617,0.000000,41.531816,0.000000,0.000000,16.612726,1.038295,49.621510,48.285590,2720,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",50.549056,9.651603,16.434917,0.000000,14.802160,2.620180,4.618835,0.289878,3.125000,36864,0,92292,0,6148,39646,30430,0,5602,332,332,3738,1568,0,0.000000,0.000000,0,5086,0.266487,0.766882,288,0,0,0,0,0,"Idle (0)","Low (1)",0,512,704,0,512,0,64,0,32,0,0,0,0,0,0,0,162752,0,0,9216,0,0,0,0,0,2720,0,0,250,0,0,0,0,0,0,0,160,99.851135,0,32,6.616443,0.239135,0.368654,0.373720,7.390501,0.397541,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (2)","Idle (0)",0.000000,0.135287,0.000000,16,21,0.129787,0.170345,"Low (1)","Idle (0)",0,0.000000,512,672
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",146,218.312500,100.000000,96.754223,91.832773,0.013742,1.000000,1.000000,0.000000,0.000000,15.457386,4.500000,32,512,0,0,10882,288,0,5,5385,301,0.000000,0.000000,20.696851,1.114575,42.216554,2.352170,0.000000,28.963812,35.596827,97.222222,22.214940,42.216554,2.352170,43.980681,2.458344,0.000000,41.816358,0.000000,0.000000,16.726543,1.045409,49.025440,47.384983,2720,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",2.796702,12.868380,34.218018,0.000000,36.460707,1.799951,9.907132,0.437410,3.125000,36864,0,92292,0,6148,39729,30264,0,5602,332,332,3729,1568,0,0.000000,0.000000,0,5169,0.388283,1.123416,288,0,0,0,0,0,"Idle (0)","Low (1)",0,0,704,0,512,0,64,0,32,0,0,0,0,0,0,0,165408,0,0,9216,0,0,0,0,0,2720,0,0,241,0,0,0,0,0,0,0,160,38.849185,0,32,6.694491,0.246680,0.369102,0.374174,7.399482,0.989185,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (2)","Idle (0)",0.000000,0.075284,0.000000,3913,132,31.958478,1.078078,"Low (2)","Idle (0)",0,0.000000,125216,4224
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",155,218.312500,100.000000,96.754223,91.779989,0.013742,1.000000,1.000000,0.000000,0.000000,15.457386,4.500000,32,512,0,0,10882,288,0,5,6201,301,0.000000,0.000000,20.202764,1.052444,41.905553,2.282731,0.000000,28.351112,37.034235,100.000000,21.559127,41.905553,2.282731,49.150053,2.385771,0.000000,40.581885,0.000000,0.000000,16.232754,1.014547,48.210233,46.104601,2720,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",41.445793,9.935521,19.767066,0.000000,22.646444,1.138408,3.870872,0.254793,3.125000,36864,0,92292,0,6148,39847,30028,0,5602,332,332,3710,1568,0,0.000000,0.000000,0,5287,0.234921,0.706182,288,0,0,0,0,0,"Idle (0)","Low (1)",512,0,704,0,512,0,64,0,32,0,0,0,0,0,0,0,169184,0,0,9216,0,0,0,0,0,2720,0,0,222,0,0,0,0,0,0,0,160,40.286996,0,32,5.624890,0.245844,0.376158,0.619923,12.259279,0.664566,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (2)","Idle (0)",0.000000,0.075343,0.000000,3953,72,31.332069,0.570683,"Low (2)","Idle (0)",0,0.000000,126496,2304
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",164,218.312500,100.000000,96.755117,91.870348,0.013742,1.000000,1.000000,0.000000,0.000000,15.457386,4.500000,32,512,0,0,10882,288,0,5,7120,301,0.000000,0.000000,20.078380,1.106350,40.463057,2.291262,0.000000,29.363828,100.000000,100.000000,21.639700,40.463057,2.291262,56.645098,2.394687,0.000000,40.733553,0.000000,0.000000,16.293421,1.018339,49.621510,48.285590,2720,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",42.420217,7.640573,19.407139,0.000000,22.409043,1.114602,5.875904,0.256513,3.125000,36864,0,92292,0,6148,39646,30430,0,5602,332,332,3738,1568,0,0.000000,0.000000,0,5086,0.226645,0.649364,288,0,0,0,0,0,"Idle (0)","Low (1)",0,0,704,0,512,0,64,0,32,0,0,0,0,0,0,0,162752,0,0,9216,0,0,0,0,0,2720,0,0,250,0,0,0,0,0,0,0,160,100.000000,0,32,4.951542,0.240345,0.924319,0.379834,7.511397,0.399571,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Idle (0)",0.000000,0.133272,0.000000,16,21,0.127292,0.167071,"Low (1)","Idle (0)",0,0.000000,512,672
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",173,218.312500,100.000000,96.754223,91.832773,0.013742,1.000000,1.000000,0.000000,0.000000,15.457386,4.500000,32,512,0,0,10882,288,0,5,5485,301,0.000000,0.000000,19.916353,1.072544,40.624526,2.263468,0.000000,28.963812,35.596827,100.000000,21.377193,40.624526,2.263468,43.108053,2.365638,0.000000,40.239422,0.000000,0.000000,16.095769,1.005986,49.025440,47.384983,2720,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",21.481344,10.962555,28.338821,0.000000,29.336108,3.017518,5.314746,0.344941,3.125000,36864,0,92292,0,6148,39729,30264,0,5602,332,332,3729,1568,0,0.000000,0.000000,0,5169,0.313582,0.890384,288,0,0,0,0,0,"Idle (0)","Low (1)",0,0,704,0,512,0,64,0,32,0,0,0,0,0,0,0,165408,0,0,9216,0,0,0,0,0,2720,0,0,241,0,0,0,0,0,0,0,160,38.995785,0,32,4.973524,0.245989,0.374023,0.379163,7.498126,0.980330,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Idle (0)",0.000000,0.072379,0.000000,4253,162,33.425442,1.273200,"Low (2)","Idle (0)",0,0.000000,136096,5184
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",182,218.312500,100.000000,96.754223,91.779989,0.013742,1.000000,1.000000,0.000000,0.000000,15.457386,4.500000,32,512,0,0,10882,288,0,5,5921,301,0.000000,0.000000,20.937815,1.090736,43.430231,2.365785,0.000000,28.351112,100.000000,97.222222,22.343527,43.430231,2.365785,48.638244,2.472574,0.000000,42.058404,0.000000,0.000000,16.823362,1.051460,48.210233,46.104601,2720,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",52.651371,12.327590,18.785490,0.000000,8.466138,1.372193,4.814634,0.389334,3.125000,36864,0,92292,0,6148,39847,30028,0,5602,332,332,3710,1568,0,0.000000,0.000000,0,5287,0.298534,0.894716,288,0,0,0,0,0,"Idle (0)","Low (1)",0,0,704,0,512,0,64,0,32,0,0,0,0,0,0,0,169184,0,0,9216,0,0,0,0,0,2720,0,0,222,0,0,0,0,0,0,0,160,99.856502,0,32,6.585451,0.244370,0.370296,0.611783,12.098307,0.658431,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Idle (0)",0.000000,0.069837,0.000000,4313,85,35.429277,0.698235,"Low (2)","Idle (0)",0,0.000000,138016,2720
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z12pgain_kerneliilP5PointiPfS1_PiPb",191,218.312500,100.000000,96.754223,91.869453,0.013742,1.000000,1.000000,0.000000,0.000000,15.457386,4.500000,32,512,0,0,10882,288,0,5,5246,301,0.000000,0.000000,20.794474,1.145807,41.906169,2.372980,0.000000,29.363828,100.000000,100.000000,22.411478,41.906169,2.372980,43.224491,2.480094,0.000000,42.186312,0.000000,0.000000,16.874525,1.054658,49.621510,48.285590,2720,0,0,0,0,52224,18432,16384,1024,0,6986,7082,"Low (1)",21.131644,10.261264,26.445948,0.000000,29.608666,3.151942,7.820114,0.338294,3.125000,36864,0,92292,0,6148,39646,30430,0,5602,332,332,3738,1568,0,0.000000,0.000000,0,5086,0.309244,0.932885,288,0,0,0,0,0,"Idle (0)","Low (1)",512,0,704,0,512,0,64,0,32,0,0,0,0,0,0,0,162752,0,0,9216,0,0,0,0,0,2720,0,0,250,0,0,0,0,0,0,0,160,100.000000,0,32,5.955132,0.241451,0.631874,0.640557,12.667330,0.692287,"Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)","Low (2)","Low (1)","Idle (0)",0.000000,0.070438,0.000000,3199,161,26.358206,1.326562,"Low (1)","Idle (0)",0,0.000000,102368,5152
