kernel,kernel_id,stat,value
_Z6KernelP4NodePiPbS2_S2_S1_i,0,total_core_cache_read_total,71591
_Z7Kernel2PbS_S_S_i,0,kernel_launch_uid,8
_Z6KernelP4NodePiPbS2_S2_S1_i,0,total_dram_reads,0
_Z7Kernel2PbS_S_S_i,0,gpgpu_simulation_rate,1207
_Z7Kernel2PbS_S_S_i,0,k-count,8
_Z7Kernel2PbS_S_S_i,0,gpgpu_silicon_slowdown,1198840
_Z7Kernel2PbS_S_S_i,0,l2_cache_read_total,1024
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpu_occupancy,16.3771
_Z6KernelP4NodePiPbS2_S2_S1_i,0,l2_cache_write_hit,15818
_Z6KernelP4NodePiPbS2_S2_S1_i,0,total_core_cache_write_hit,8302
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpu_total_instructions,1027692
_Z7Kernel2PbS_S_S_i,0,total_core_cache_read_hit,0
_Z7Kernel2PbS_S_S_i,0,l2_cache_write_hit,2196
_Z7Kernel2PbS_S_S_i,0,l2_cache_write_total,2196
_Z6KernelP4NodePiPbS2_S2_S1_i,0,k-count,8
_Z7Kernel2PbS_S_S_i,0,gpu_tot_sim_cycle,44871
_Z7Kernel2PbS_S_S_i,0,total_core_cache_read_mshr_hit,0
_Z7Kernel2PbS_S_S_i,0,gpgpu_simulation_time_sec,36
_Z7Kernel2PbS_S_S_i,0,gpgpu_n_tot_w_icount,24471
_Z7Kernel2PbS_S_S_i,0,total_core_cache_write_hit,1050
_Z6KernelP4NodePiPbS2_S2_S1_i,0,total_core_cache_write_total,15818
_Z7Kernel2PbS_S_S_i,0,total_core_cache_read_total,1024
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpgpu_silicon_slowdown,1203826
_Z6KernelP4NodePiPbS2_S2_S1_i,0,kernel_launch_uid,8
_Z7Kernel2PbS_S_S_i,0,total_core_cache_write_total,2196
_Z7Kernel2PbS_S_S_i,0,l2_bandwidth_gbps,1.108
_Z7Kernel2PbS_S_S_i,0,l2_cache_read_hit,1024
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpgpu_n_tot_w_icount,113730
_Z7Kernel2PbS_S_S_i,0,total_dram_writes,0
_Z7Kernel2PbS_S_S_i,0,gpu_ipc,13.0178
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpgpu_simulation_time_sec,63
_Z7Kernel2PbS_S_S_i,0,gpu_total_instructions,598006
_Z7Kernel2PbS_S_S_i,0,gpu_occupancy,24.4543
_Z7Kernel2PbS_S_S_i,0,total_dram_reads,0
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpgpu_simulation_rate,1202
_Z6KernelP4NodePiPbS2_S2_S1_i,0,l2_cache_write_total,15818
_Z6KernelP4NodePiPbS2_S2_S1_i,0,total_dram_writes,0
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpu_ipc,12.2776
_Z6KernelP4NodePiPbS2_S2_S1_i,0,total_core_cache_read_mshr_hit,1630
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpu_tot_ipc,13.6259
_Z6KernelP4NodePiPbS2_S2_S1_i,0,total_core_cache_read_hit,56226
_Z6KernelP4NodePiPbS2_S2_S1_i,0,l2_bandwidth_gbps,0.9999
_Z6KernelP4NodePiPbS2_S2_S1_i,0,l2_cache_read_total,13735
_Z7Kernel2PbS_S_S_i,0,gpu_tot_ipc,13.5987
_Z6KernelP4NodePiPbS2_S2_S1_i,0,gpu_tot_sim_cycle,74677
_Z6KernelP4NodePiPbS2_S2_S1_i,0,l2_cache_read_hit,13735
