kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-2.7.sm_75.ptx 223 : 16 384 0 0 0 3 1 0 0 
backprop-rodinia-2.7.sm_75.ptx 222 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 216 : 16 3104 0 0 0 3 1 0 0 
backprop-rodinia-2.7.sm_75.ptx 201 : 65536 347168 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 200 : 65536 407360 0 0 0 10240 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 199 : 65536 405312 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 198 : 65536 900672 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 197 : 65536 903232 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 196 : 65536 404672 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 195 : 65536 1809312 0 0 0 10240 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 194 : 65536 406912 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 193 : 65536 1805728 0 0 0 2560 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 192 : 65536 891776 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 191 : 65536 413600 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 190 : 65536 1925632 0 0 0 6144 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 189 : 65536 513728 0 0 0 10240 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 188 : 65536 421376 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 187 : 65536 900768 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 186 : 65536 396032 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 185 : 65536 15659264 0 0 0 10240 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 184 : 65536 610016 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 183 : 65536 937888 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 182 : 65536 933600 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 181 : 65536 398112 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 180 : 65536 18952256 0 0 0 10240 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 179 : 65536 679744 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 178 : 65536 696288 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 177 : 65536 528608 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 176 : 65536 487328 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 175 : 65536 12722080 0 0 0 2560 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 174 : 65536 711616 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 173 : 65536 696288 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 172 : 65536 517184 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 171 : 65536 1056000 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 170 : 65536 418816 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 169 : 65536 23117792 0 0 0 6144 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 168 : 65536 685984 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 167 : 65536 753088 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 166 : 65536 569600 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 165 : 65536 758464 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 164 : 65536 712352 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 163 : 65536 545536 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 162 : 65536 703072 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 161 : 65536 713696 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 160 : 65536 1169728 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 159 : 65536 393216 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 158 : 65536 422304 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 157 : 65536 681408 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 156 : 65536 867328 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 155 : 65536 851968 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 154 : 65536 851968 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 153 : 65536 851488 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 152 : 65536 1776928 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 132 : 65536 389760 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 129 : 4096 26286 0 0 0 2048 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 128 : 4096 39330 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 127 : 4096 38146 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 126 : 4096 42908 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 71 : 65536 403360 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 70 : 65536 378624 0 2048 2048 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 69 : 65536 687232 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 68 : 65536 567936 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 67 : 65536 759456 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 66 : 65536 541632 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 65 : 65536 538144 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 231 : 65536 338336 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 64 : 65536 18426464 0 0 0 10240 2048 0 0 
backprop-rodinia-2.7.sm_75.ptx 63 : 65536 798752 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 62 : 65536 739168 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 228 : 16 64 0 0 0 3 1 0 0 
backprop-rodinia-2.7.sm_75.ptx 61 : 65536 599040 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 227 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-2.7.sm_75.ptx 60 : 65536 827104 0 0 0 0 0 0 0 
