kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs-rodinia-2.7.sm_75.ptx 147 : 4095 36056 0 0 0 549 549 0 0 
bfs-rodinia-2.7.sm_75.ptx 146 : 4095 34057 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 145 : 4095 47274 0 0 0 549 549 0 0 
bfs-rodinia-2.7.sm_75.ptx 144 : 4095 29809 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 143 : 4095 40411 0 0 0 549 549 0 0 
bfs-rodinia-2.7.sm_75.ptx 142 : 4095 38844 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 141 : 4095 22047 0 0 0 549 549 0 0 
bfs-rodinia-2.7.sm_75.ptx 140 : 4095 32102 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 139 : 4095 39212 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 138 : 4095 29712 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 150 : 32768 181920 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 67 : 4096 38588 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 66 : 4096 28500 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 65 : 4096 112583 0 0 0 2406 550 0 0 
bfs-rodinia-2.7.sm_75.ptx 64 : 4096 38177 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 62 : 4096 27707 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 60 : 4096 0 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 59 : 4096 25700 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 58 : 4096 1055108 0 0 0 2406 550 0 0 
bfs-rodinia-2.7.sm_75.ptx 137 : 4095 29458 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 57 : 4096 37311 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 56 : 4096 38518 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 135 : 32768 164163 0 0 0 0 0 0 549 
bfs-rodinia-2.7.sm_75.ptx 55 : 4096 40103 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 134 : 32768 199296 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 54 : 4096 27731 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 133 : 32768 6410368 0 0 0 1024 1024 0 0 
bfs-rodinia-2.7.sm_75.ptx 53 : 4096 17189 0 0 0 550 550 0 0 
bfs-rodinia-2.7.sm_75.ptx 132 : 32768 311296 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 52 : 4096 23666 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 131 : 32768 214272 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 63 : 4096 39359 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 100 : 32768 179168 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 50 : 32768 156364 0 0 0 0 0 0 550 
bfs-rodinia-2.7.sm_75.ptx 49 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 128 : 32768 0 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 48 : 32768 6375360 0 0 0 1024 1024 0 0 
bfs-rodinia-2.7.sm_75.ptx 127 : 32768 198912 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 36 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 35 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 34 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 33 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 68 : 4096 39013 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 31 : 32768 1060864 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 32 : 32768 396640 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 37 : 32768 438272 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 38 : 32768 360192 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 39 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 118 : 32768 798720 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 40 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 119 : 32768 397376 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 41 : 32768 325824 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 120 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 42 : 32768 215104 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 121 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 43 : 32768 0 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 122 : 32768 438272 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 45 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 124 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 46 : 32768 221184 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 125 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 47 : 32768 311296 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 126 : 32768 326400 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 69 : 4096 30337 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 70 : 4096 34232 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 71 : 4096 33365 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 74 : 24576 3307452 0 0 0 22842 4670 0 0 
bfs-rodinia-2.7.sm_75.ptx 75 : 24576 156362 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 76 : 24576 226872 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 77 : 24576 2435519 0 0 0 23723 4670 0 0 
bfs-rodinia-2.7.sm_75.ptx 78 : 24576 156429 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 79 : 24576 94729 0 0 0 0 0 0 1950 
bfs-rodinia-2.7.sm_75.ptx 81 : 7692 551027 0 0 0 5744 3143 0 0 
bfs-rodinia-2.7.sm_75.ptx 82 : 7692 73267 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 83 : 7692 79661 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 84 : 7692 74869 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 85 : 7692 60366 0 0 0 7666 3143 0 0 
bfs-rodinia-2.7.sm_75.ptx 86 : 7692 74771 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 87 : 7692 57304 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 88 : 7692 64419 0 0 0 7602 3143 0 0 
bfs-rodinia-2.7.sm_75.ptx 89 : 7692 228761 0 0 0 6723 3143 0 0 
bfs-rodinia-2.7.sm_75.ptx 90 : 7692 235889 0 0 0 6723 3143 0 0 
bfs-rodinia-2.7.sm_75.ptx 93 : 24576 265497 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 94 : 24576 244998 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 95 : 24576 260214 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 96 : 24576 163252 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 97 : 24576 119206 0 0 0 0 0 0 1791 
bfs-rodinia-2.7.sm_75.ptx 123 : 32768 355072 0 0 0 0 0 0 0 
bfs-rodinia-2.7.sm_75.ptx 130 : 32768 196608 0 0 0 0 0 0 0 
