kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
hotspot-rodinia-2.7.sm_75.ptx 235 : 6300 35100 0 0 0 1962 780 0 0 
hotspot-rodinia-2.7.sm_75.ptx 238 : 114688 573440 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 234 : 6300 160172 0 780 780 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 232 : 114688 541940 0 0 0 0 0 0 780 
hotspot-rodinia-2.7.sm_75.ptx 231 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 230 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 125 : 114688 745472 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 123 : 114688 0 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 122 : 114688 802816 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 121 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 120 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 119 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 118 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 117 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 116 : 114688 1146880 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 115 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 114 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 113 : 114688 1089536 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 112 : 114688 748832 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 111 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 110 : 114688 1261568 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 109 : 114688 1146880 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 108 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 107 : 114688 1089536 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 106 : 114688 590656 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 102 : 73348 293392 0 2737 2737 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 101 : 73348 15595812 0 0 0 13272 2737 0 0 
hotspot-rodinia-2.7.sm_75.ptx 100 : 73348 660132 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 99 : 73348 298152 0 2737 2737 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 98 : 73348 21798352 0 0 0 13272 2737 0 0 
hotspot-rodinia-2.7.sm_75.ptx 105 : 114688 633536 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 97 : 73348 562228 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 94 : 73348 589012 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 93 : 114688 312084 0 0 0 0 0 0 1383 
hotspot-rodinia-2.7.sm_75.ptx 92 : 114688 1158560 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 91 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 90 : 114688 802816 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 89 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 88 : 114688 845824 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 87 : 114688 1075200 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 86 : 114688 866720 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 85 : 114688 813696 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 84 : 114688 1234624 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 83 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 62 : 114688 1089536 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 61 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 60 : 114688 941920 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 227 : 540672 2703360 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 59 : 114688 1291680 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 226 : 540672 4595712 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 58 : 114688 1576960 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 225 : 540672 5136384 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 57 : 114688 1490944 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 224 : 540672 2703360 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 56 : 114688 1490944 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 55 : 114688 1490944 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 54 : 114688 1490944 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 221 : 165584 678750 0 9773 9773 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 53 : 114688 1490944 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 220 : 165584 4415068 0 9773 9773 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 127 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 48 : 114688 5844096 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 215 : 655360 573440 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 126 : 114688 802816 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 47 : 114688 664448 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 214 : 655360 3932160 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 128 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 49 : 114688 1328544 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 129 : 114688 688128 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 50 : 114688 1459296 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 217 : 540672 3244032 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 51 : 114688 1490944 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 218 : 540672 1875440 0 0 0 0 0 0 9773 
hotspot-rodinia-2.7.sm_75.ptx 52 : 114688 1490944 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 63 : 114688 860160 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 64 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 65 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 66 : 114688 802816 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 67 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 68 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 69 : 114688 802816 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 70 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 71 : 114688 802816 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 72 : 114688 1032192 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 73 : 114688 1433600 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 74 : 114688 802816 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 75 : 114688 1146880 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 76 : 114688 745472 0 0 0 0 0 0 0 
hotspot-rodinia-2.7.sm_75.ptx 77 : 114688 688128 0 0 0 0 0 0 0 
