kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
lud-rodinia-2.14.sm_75.ptx 1597 : 3584 17920 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 1596 : 3584 17920 0 0 0 448 112 0 0 
lud-rodinia-2.14.sm_75.ptx 1595 : 3584 32256 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 1594 : 3584 729536 0 0 0 448 112 0 0 
lud-rodinia-2.14.sm_75.ptx 1593 : 3584 32256 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 1592 : 3584 32672 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 1591 : 3584 32448 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 742 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 741 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 740 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 739 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 738 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 737 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 736 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 735 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 734 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 733 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 732 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 731 : 96 384 0 6 6 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 730 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 729 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 728 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 727 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 726 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 725 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 724 : 96 864 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 723 : 96 960 0 0 0 0 0 0 0 
lud-rodinia-2.14.sm_75.ptx 722 : 96 864 0 0 0 0 0 0 0 
