kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nn-rodinia-2.7.sm_75.ptx 141 : 60032 303136 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 138 : 60000 241376 0 0 0 7500 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 137 : 60000 541696 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 136 : 60000 541128 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 135 : 60000 6307216 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 134 : 60000 602928 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 133 : 60000 542696 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 68 : 60000 386736 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 60 : 60000 315808 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 59 : 60000 649560 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 58 : 60000 2819392 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 57 : 60000 45831936 0 0 0 60000 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 56 : 60000 46506216 0 0 0 60000 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 55 : 60000 47629896 0 0 0 60000 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 54 : 60000 46500688 0 0 0 60000 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 53 : 60000 44224376 0 0 0 60000 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 132 : 60000 541184 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 52 : 60000 43591216 0 0 0 60000 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 131 : 60000 591776 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 51 : 60000 40536400 0 0 0 60000 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 130 : 60000 541696 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 50 : 60000 39543160 0 0 0 60000 3752 0 0 
nn-rodinia-2.7.sm_75.ptx 129 : 60000 2656416 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 49 : 60000 540000 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 128 : 60000 363416 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 74 : 40722 249470 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 37 : 60032 777696 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 73 : 40722 408755 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 36 : 60032 940160 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 115 : 60000 93558 0 0 0 0 0 0 4 
nn-rodinia-2.7.sm_75.ptx 72 : 40722 248103 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 35 : 60032 1045408 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 114 : 60000 366032 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 71 : 40722 246179 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 34 : 60032 1288800 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 69 : 60000 101813 0 0 0 0 0 0 1447 
nn-rodinia-2.7.sm_75.ptx 32 : 60032 758336 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 111 : 41546 376100 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 33 : 60032 618944 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 75 : 40722 371242 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 38 : 60032 757808 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 117 : 42764 262456 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 39 : 60032 1107360 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 118 : 42764 260536 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 40 : 60032 403648 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 119 : 42764 386847 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 78 : 60000 375744 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 41 : 60032 300160 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 120 : 42764 259755 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 42 : 60032 619392 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 121 : 42764 387279 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 43 : 60032 360192 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 44 : 60032 384 0 0 0 0 0 0 4 
nn-rodinia-2.7.sm_75.ptx 46 : 60000 399520 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 125 : 60000 372856 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 47 : 60000 620448 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 126 : 60000 364648 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 48 : 60000 379040 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 127 : 60000 542976 0 0 0 0 0 0 0 
nn-rodinia-2.7.sm_75.ptx 79 : 60000 93825 0 0 0 0 0 0 4 
