kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nw-rodinia-2.7.sm_75.ptx 1350 : 448 2240 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1349 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1348 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1347 : 448 1792 0 0 0 56 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1346 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1345 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1344 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1343 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1342 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1341 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1340 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1339 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1338 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1337 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1336 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1335 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1334 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1333 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1332 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1331 : 448 1792 0 0 0 56 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1330 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1329 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1328 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1327 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1326 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1325 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1324 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1323 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1322 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1321 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1320 : 448 4032 0 0 0 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1319 : 448 1792 0 0 0 84 28 0 0 
nw-rodinia-2.7.sm_75.ptx 1318 : 448 11200 0 28 28 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1317 : 448 11200 0 28 28 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1316 : 448 11200 0 28 28 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1315 : 448 11200 0 28 28 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1314 : 448 11200 0 28 28 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1313 : 448 11200 0 28 28 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1312 : 448 11200 0 28 28 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1311 : 448 11200 0 28 28 0 0 0 0 
nw-rodinia-2.7.sm_75.ptx 1310 : 448 11200 0 28 28 0 0 0 0 
