kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
pathfinder-rodinia-2.7.sm_75.ptx 164 : 4000 30001 0 0 0 625 132 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 163 : 4000 36000 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 162 : 4000 38018 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 161 : 4000 26018 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 160 : 4000 107960 0 132 132 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 159 : 4000 38018 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 158 : 4000 24000 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 167 : 5120 25728 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 157 : 4000 24000 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 155 : 5120 5600 0 0 0 0 0 0 36 
pathfinder-rodinia-2.7.sm_75.ptx 154 : 5120 30720 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 153 : 5120 30720 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 144 : 15288 61152 0 495 495 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 143 : 15288 137743 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 142 : 15288 414228 0 495 495 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 150 : 19200 109696 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 141 : 15288 144945 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 149 : 19200 150688 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 148 : 19200 210080 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 140 : 15288 91797 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 147 : 19200 178944 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 139 : 15288 91728 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 137 : 19200 19560 0 0 0 0 0 0 135 
pathfinder-rodinia-2.7.sm_75.ptx 136 : 19200 115200 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 134 : 24320 25600 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 133 : 24320 145920 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 129 : 19288 102808 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 128 : 19288 77152 0 627 627 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 127 : 19288 173592 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 126 : 19288 134644 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 125 : 19288 173592 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 124 : 19288 4030669 0 0 0 3012 627 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 123 : 19288 173592 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 122 : 19288 194747 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 67 : 4152 24912 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 66 : 4152 885699 0 0 0 647 132 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 65 : 4152 37368 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 73 : 5120 32320 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 64 : 4152 38960 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 63 : 4152 26504 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 61 : 5120 4988 0 0 0 0 0 0 8 
pathfinder-rodinia-2.7.sm_75.ptx 60 : 5120 30720 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 59 : 5120 33920 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 58 : 5120 33920 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 57 : 5120 97920 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 56 : 5120 51840 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 55 : 5120 54400 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 54 : 5120 35840 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 53 : 5120 38400 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 132 : 24320 130080 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 79 : 5120 39104 0 0 0 0 0 0 0 
pathfinder-rodinia-2.7.sm_75.ptx 42 : 5120 66560 0 0 0 0 0 0 0 
