kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v2-rodinia-2.7.sm_75.ptx 524 : 32768 163840 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 523 : 32768 278528 0 0 0 4096 1024 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 522 : 32768 905728 0 1024 1024 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 521 : 32768 164256 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 520 : 32768 133152 0 1024 1024 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 519 : 32768 295552 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 518 : 32768 302912 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 517 : 32768 206816 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 516 : 32768 202144 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 515 : 32768 428864 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 514 : 32768 198432 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 513 : 32768 430848 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 512 : 32768 198240 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 511 : 32768 197280 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 510 : 32768 819936 0 1024 1024 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 509 : 32768 327680 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 508 : 32768 900640 0 2048 1024 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 507 : 32768 6518144 0 0 0 4096 1024 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 506 : 32768 294976 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 505 : 32768 328384 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 504 : 32768 6663328 0 0 0 4096 1024 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 503 : 32768 296960 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 502 : 32768 328992 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 501 : 32768 295680 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 500 : 32768 1079136 0 1152 1024 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 499 : 32768 7958880 0 0 0 4096 1024 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 498 : 32768 318304 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 497 : 32768 197472 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 496 : 32768 7117088 0 0 0 4096 1024 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 217 : 32768 901376 0 2048 1024 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 216 : 32768 295168 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 215 : 32768 840672 0 1152 1024 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 319 : 25088 235718 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 303 : 1792 19082 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 202 : 28672 221396 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 208 : 1792 15471 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 207 : 1792 21581 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 206 : 1792 23393 0 0 0 0 0 0 0 
srad_v2-rodinia-2.7.sm_75.ptx 205 : 1792 22255 0 0 0 0 0 0 0 
