kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
streamcluster-rodinia-2.7.sm_75.ptx 297 : 133120 1251232 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 296 : 133120 887840 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 275 : 18206 401890 0 0 0 2002 2002 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 274 : 18206 123428 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 267 : 133120 999616 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 264 : 133120 56280416 0 0 0 133120 4160 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 263 : 133120 1416896 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 262 : 133120 1283744 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 261 : 133120 909504 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 260 : 133120 889504 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 259 : 133120 1408896 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 258 : 133120 1036608 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 257 : 133120 1384032 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 256 : 133120 871584 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 255 : 133120 917824 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 254 : 133120 879808 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 251 : 532480 2255904 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 250 : 532480 3463712 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 249 : 532480 5892160 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 248 : 532480 5554272 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 247 : 532480 4960096 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 246 : 532480 5348800 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 245 : 532480 4807840 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 244 : 532480 104870240 0 0 0 66560 16640 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 243 : 532480 13383872 0 16640 16640 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 242 : 532480 4792320 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 241 : 532480 5353024 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 240 : 532480 4802336 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 239 : 532480 104936896 0 0 0 66560 16640 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 238 : 532480 13374560 0 16640 16640 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 237 : 532480 4792320 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 236 : 532480 5352928 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 235 : 532480 4800352 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 234 : 532480 105950496 0 0 0 66560 16640 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 233 : 532480 13430304 0 16640 16640 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 273 : 18206 179547 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 106 : 260 2340 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 272 : 18206 121752 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 105 : 260 2860 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 104 : 260 2600 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 103 : 260 2340 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 269 : 114914 677820 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 102 : 260 1560 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 268 : 133120 105218 0 0 0 0 0 0 2002 
streamcluster-rodinia-2.7.sm_75.ptx 101 : 260 1560 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 266 : 133120 16790880 0 0 0 133120 4160 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 99 : 260 0 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 265 : 133120 1269056 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 98 : 260 1560 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 299 : 133120 1410848 0 0 0 0 0 0 0 
streamcluster-rodinia-2.7.sm_75.ptx 132 : 133120 798720 0 0 0 0 0 0 0 
