QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 16 under, 0 over)) [Correl=-0.008481 Err=98.94%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=-100.00%,HW-Range=+0.00%/-0.00%),9807.00,0.00,0.00
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=-100.00%,HW-Range=+0.00%/-0.00%),44.00,0.00,0.00
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=-100.00%,HW-Range=+0.00%/-0.00%),116.00,0.00,0.00
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=-100.00%,HW-Range=+0.00%/-0.00%),420.00,0.00,0.00
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=-100.00%,HW-Range=+0.00%/-0.00%),224.00,0.00,0.00
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-100.00%,HW-Range=+0.00%/-0.00%),11170.00,0.00,0.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=-100.00%,HW-Range=+0.00%/-0.00%),204.00,0.00,0.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=-100.00%,HW-Range=+0.00%/-0.00%),622.00,0.00,0.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=-100.00%,HW-Range=+0.00%/-0.00%),1952.00,0.00,0.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=-100.00%,HW-Range=+0.00%/-0.00%),480.00,0.00,0.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=-100.00%,HW-Range=+0.00%/-0.00%),398.00,0.00,0.00
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=-100.00%,HW-Range=+0.00%/-0.00%),19917.00,0.00,0.00
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=-100.00%,HW-Range=+0.00%/-0.00%),3147.00,0.00,0.00
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=-98.06%,HW-Range=+0.00%/-0.00%),2475.00,48.00,0.02
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=-100.00%,HW-Range=+0.00%/-0.00%),12504.00,0.00,0.00
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=-84.91%,HW-Range=+0.00%/-0.00%),4174.00,630.00,0.15


