QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 16 under, 0 over)) [Correl=0.8961 Err=82.84%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,68.70,31.25,0.45
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,1.40,0.05,0.03
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,34.73,3.19,0.09
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,58.58,36.47,0.62
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,1.62,0.12,0.08
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,0.27,0.01,0.04
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,47.46,5.37,0.11
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,3.87,0.29,0.08
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,32.70,6.03,0.18
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,2.32,0.00,0.00


