QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 16 under, 0 over)) [Correl=0.8961 Err=82.84%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=-59.31%,HW-Range=+-6.18%/--7.05%),115.25,46.89,0.41
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=-29.56%,HW-Range=+-4.52%/--4.96%),22.16,15.61,0.70
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=-94.35%,HW-Range=+-0.51%/--0.51%),0.65,0.04,0.06
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=-97.30%,HW-Range=+-0.62%/--0.63%),2.14,0.06,0.03
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=-90.82%,HW-Range=+-0.62%/--0.63%),34.73,3.19,0.09
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-37.75%,HW-Range=+-6.00%/--6.81%),58.58,36.47,0.62
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=-93.50%,HW-Range=+-0.81%/--0.82%),0.41,0.03,0.07
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=-94.15%,HW-Range=+-0.37%/--0.37%),0.89,0.05,0.06
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=-91.89%,HW-Range=+-0.14%/--0.14%),3.57,0.29,0.08
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=-96.19%,HW-Range=+-9.90%/--12.35%),0.18,0.01,0.04
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=-95.76%,HW-Range=+-8.86%/--10.77%),0.37,0.02,0.04
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=-88.69%,HW-Range=+-0.10%/--0.10%),47.46,5.37,0.11
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=-92.45%,HW-Range=+-5.70%/--6.43%),3.87,0.29,0.08
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=-77.90%,HW-Range=+-1.43%/--1.47%),35.96,7.95,0.22
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=-86.06%,HW-Range=+-1.46%/--1.51%),29.45,4.11,0.14
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=-99.83%,HW-Range=+-2.40%/--2.52%),2.32,0.00,0.00


