QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 14 under, 2 over)) [Correl=-0.09126 Err=209.85%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=-100.00%,HW-Range=+0.00%/-0.00%),46.74,0.00,0.00
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=-39.28%,HW-Range=+0.00%/-0.00%),55.63,33.78,0.61
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=-2.01%,HW-Range=+0.00%/-0.00%),65.64,64.32,0.98
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=-100.00%,HW-Range=+0.00%/-0.00%),69.57,0.00,0.00
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=-100.00%,HW-Range=+0.00%/-0.00%),37.86,0.00,0.00
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-68.15%,HW-Range=+0.00%/-0.00%),54.61,17.39,0.32
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=-100.00%,HW-Range=+0.00%/-0.00%),50.00,0.00,0.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=-100.00%,HW-Range=+0.00%/-0.00%),50.00,0.00,0.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=-100.00%,HW-Range=+0.00%/-0.00%),50.00,0.00,0.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=-97.49%,HW-Range=+0.00%/-0.00%),35.63,0.89,0.03
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=-97.50%,HW-Range=+0.00%/-0.00%),35.63,0.89,0.03
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=2136.02%,HW-Range=+0.00%/-0.00%),1.52,33.88,22.36
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=-100.00%,HW-Range=+0.00%/-0.00%),50.42,0.00,0.00
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=-96.96%,HW-Range=+0.00%/-0.00%),56.00,1.70,0.03
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=-98.37%,HW-Range=+0.00%/-0.00%),53.24,0.87,0.02
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=21.81%,HW-Range=+0.00%/-0.00%),27.85,33.93,1.22


