QV100-PTX (10 apps, 16 kernels (16 < 1% Err, 0 under, 0 over)) [Correl=nan Err=0.00%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,46.94,46936904.62
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,63.63,63625236.78
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,73.82,73822217.14
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,32.60,32598571.87
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,6.88,6882520.08
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,24.76,24756357.99
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,48.19,48192771.08
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,39.20,39199157.01
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,24.99,24986056.89
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,13.39,13389536.33
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,13.39,13388587.82
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,33.88,33879109.99
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,2.61,2613768.96
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,1.70,1704495.01
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,13.17,13172681.11
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,39.74,39735686.24


