QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 8 under, 8 over)) [Correl=-0.09902 Err=1398.69%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,278572.00,60943.00,0.22
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,1206.00,72615.00,60.21
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,13826.00,26544.00,1.92
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,199922.00,30987.00,0.15
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,4742.00,2048.00,0.43
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,448.00,4224.00,9.43
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,15010.00,480000.00,31.98
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,3170.00,3659.00,1.15
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,112644.00,42496.00,0.38
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,10882.00,701606.00,64.47


