QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 8 under, 8 over)) [Correl=-0.09902 Err=1398.69%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=-73.96%,HW-Range=+0.00%/-0.00%),49154.00,12800.00,0.26
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=-79.02%,HW-Range=+0.00%/-0.00%),229418.00,48143.00,0.21
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=10245.52%,HW-Range=+0.00%/-0.00%),692.00,71591.00,103.46
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=99.22%,HW-Range=+0.00%/-0.00%),514.00,1024.00,1.99
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=91.99%,HW-Range=+0.00%/-0.00%),13826.00,26544.00,1.92
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-84.50%,HW-Range=+0.00%/-0.00%),199922.00,30987.00,0.15
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=-1.54%,HW-Range=+0.00%/-0.00%),130.00,128.00,0.98
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=-50.09%,HW-Range=+0.00%/-0.00%),1154.00,576.00,0.50
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=-61.13%,HW-Range=+0.00%/-0.00%),3458.00,1344.00,0.39
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=1484.00%,HW-Range=+0.00%/-0.00%),150.00,2376.00,15.84
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=520.13%,HW-Range=+0.00%/-0.00%),298.00,1848.00,6.20
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=3097.87%,HW-Range=+0.00%/-0.00%),15010.00,480000.00,31.98
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=15.43%,HW-Range=+0.00%/-0.00%),3170.00,3659.00,1.15
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=-70.46%,HW-Range=+0.00%/-0.00%),45058.00,13312.00,0.30
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=-56.82%,HW-Range=+0.00%/-0.00%),67586.00,29184.00,0.43
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=6347.40%,HW-Range=+0.00%/-0.00%),10882.00,701606.00,64.47


