QV100-PTX (10 apps, 16 kernels (1 < 1% Err, 4 under, 11 over)) [Correl=0.06387 Err=6020.67%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=-24.00%,HW-Range=+0.00%/-0.00%),12800.00,9728.00,0.76
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=-37.34%,HW-Range=+0.00%/-0.00%),30213.00,18932.00,0.63
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=7530.56%,HW-Range=+0.00%/-0.00%),180.00,13735.00,76.31
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,1024.00,1024000000.00
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=530.20%,HW-Range=+0.00%/-0.00%),4212.00,26544.00,6.30
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-22.63%,HW-Range=+0.00%/-0.00%),24323.00,18819.00,0.77
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=300.00%,HW-Range=+0.00%/-0.00%),32.00,128.00,4.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=100.00%,HW-Range=+0.00%/-0.00%),288.00,576.00,2.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=250.00%,HW-Range=+0.00%/-0.00%),384.00,1344.00,3.50
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=3445.45%,HW-Range=+0.00%/-0.00%),66.00,2340.00,35.45
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=60566.67%,HW-Range=+0.00%/-0.00%),3.00,1820.00,606.67
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=-21.49%,HW-Range=+0.00%/-0.00%),100312.00,78752.00,0.79
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=216.04%,HW-Range=+0.00%/-0.00%),954.00,3015.00,3.16
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=89.16%,HW-Range=+0.00%/-0.00%),4576.00,8656.00,1.89
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=1066.67%,HW-Range=+0.00%/-0.00%),2304.00,26880.00,11.67
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=22130.50%,HW-Range=+0.00%/-0.00%),2000.00,444610.00,222.30


