QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 4 under, 12 over)) [Correl=0.08021 Err=1383.31%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,60943.00,28660.00,0.47
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,308.00,14759.00,47.92
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,4212.00,26544.00,6.30
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,30987.00,18819.00,0.61
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,1184.00,2048.00,1.73
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,198.00,4160.00,21.01
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,120000.00,78752.00,0.66
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,954.00,3015.00,3.16
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,21248.00,35584.00,1.67
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,5706.00,445240.00,78.03


