QV100-PTX (10 apps, 16 kernels (8 < 1% Err, 4 under, 4 over)) [Correl=0.5671 Err=28.86%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,99.99,97.92,0.98
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,73.75,100.00,1.36
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,100.00,100.00,1.00
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,51.05,18.70,0.37
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,100.00,100.00,1.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,75.00,100.00,1.33
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,100.00,75.00,0.75
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,50.64,80.00,1.58
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,75.28,50.08,0.67
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,98.93,100.00,1.01


