QV100-PTX (10 apps, 16 kernels (2 < 1% Err, 1 under, 13 over)) [Correl=0.4303 Err=5826.67%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=0.00%,HW-Range=+0.00%/-0.00%),12288.00,12288.00,1.00
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=0.00%,HW-Range=+0.00%/-0.00%),20486.00,20486.00,1.00
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=75223.81%,HW-Range=+0.00%/-0.00%),21.00,15818.00,753.24
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=5390.00%,HW-Range=+0.00%/-0.00%),40.00,2196.00,54.90
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=569.62%,HW-Range=+0.00%/-0.00%),293.00,1962.00,6.70
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-3.41%,HW-Range=+0.00%/-0.00%),21246.00,20522.00,0.97
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=300.00%,HW-Range=+0.00%/-0.00%),30.00,120.00,4.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=100.00%,HW-Range=+0.00%/-0.00%),186.00,372.00,2.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=55.56%,HW-Range=+0.00%/-0.00%),288.00,448.00,1.56
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=3500.00%,HW-Range=+0.00%/-0.00%),46.00,1656.00,36.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=1300.00%,HW-Range=+0.00%/-0.00%),92.00,1288.00,14.00
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=300.00%,HW-Range=+0.00%/-0.00%),1875.00,7500.00,4.00
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=300.64%,HW-Range=+0.00%/-0.00%),156.00,625.00,4.01
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=100.00%,HW-Range=+0.00%/-0.00%),10240.00,20480.00,2.00
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=100.00%,HW-Range=+0.00%/-0.00%),2048.00,4096.00,2.00
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=5983.65%,HW-Range=+0.00%/-0.00%),746.00,45384.00,60.84


