QV100-PTX (10 apps, 16 kernels (6 < 1% Err, 8 under, 2 over)) [Correl=0.8606 Err=30.15%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,83.20,38.31,0.46
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,17.09,20.42,1.19
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,39.77,12.29,0.31
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,47.16,20.62,0.44
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,5.15,5.17,1.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,1.56,1.56,1.00
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,37.52,17.51,0.47
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,12.45,12.26,0.98
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,38.74,12.41,0.32
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,24.54,24.68,1.01


