QV100-PTX (10 apps, 16 kernels (6 < 1% Err, 8 under, 2 over)) [Correl=0.8606 Err=30.15%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=-51.79%,HW-Range=+0.00%/-0.00%),81.30,39.20,0.48
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=-56.02%,HW-Range=+0.00%/-0.00%),85.11,37.43,0.44
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=53.60%,HW-Range=+0.00%/-0.00%),10.66,16.38,1.54
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=3.95%,HW-Range=+0.00%/-0.00%),23.53,24.45,1.04
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=-69.11%,HW-Range=+0.00%/-0.00%),39.77,12.29,0.31
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-56.28%,HW-Range=+0.00%/-0.00%),47.16,20.62,0.44
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=-0.01%,HW-Range=+0.00%/-0.00%),1.56,1.56,1.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=0.01%,HW-Range=+0.00%/-0.00%),1.56,1.56,1.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=0.27%,HW-Range=+0.00%/-0.00%),12.34,12.37,1.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=-0.01%,HW-Range=+0.00%/-0.00%),1.56,1.56,1.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=0.00%,HW-Range=+0.00%/-0.00%),1.56,1.56,1.00
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=-53.33%,HW-Range=+0.00%/-0.00%),37.52,17.51,0.47
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=-1.58%,HW-Range=+0.00%/-0.00%),12.45,12.26,0.98
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=-68.35%,HW-Range=+0.00%/-0.00%),39.18,12.40,0.32
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=-67.58%,HW-Range=+0.00%/-0.00%),38.30,12.42,0.32
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=0.58%,HW-Range=+0.00%/-0.00%),24.54,24.68,1.01


