QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 3 under, 13 over)) [Correl=-0.09485 Err=1911.64%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,22636.80,16025.00,0.71
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,13862.40,119548.00,8.62
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,15590.40,61078.00,3.92
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,13036.80,8907.00,0.68
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,33081.60,189360.00,5.72
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,19161.60,204595.00,10.68
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,8947.20,28190.00,3.15
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,5894.40,32617.00,5.53
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,14765.40,31420.00,2.13
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,7584.00,1807695.00,238.36


