QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 3 under, 13 over)) [Correl=-0.09485 Err=1911.64%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=-4.07%,HW-Range=+1.33%/-1.33%),8678.40,8325.00,0.96
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=-44.84%,HW-Range=+0.41%/-0.41%),13958.40,7700.00,0.55
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=561.47%,HW-Range=+0.34%/-0.34%),11289.60,74677.00,6.61
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=1644.05%,HW-Range=+0.00%/-0.00%),2572.80,44871.00,17.44
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=291.77%,HW-Range=+0.49%/-0.49%),15590.40,61078.00,3.92
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-31.68%,HW-Range=+1.62%/-1.62%),13036.80,8907.00,0.68
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=450.59%,HW-Range=+0.00%/-0.00%),19776.00,108884.00,5.51
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=534.80%,HW-Range=+1.40%/-1.40%),9580.80,60819.00,6.35
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=427.73%,HW-Range=+1.03%/-1.03%),3724.80,19657.00,5.28
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=1033.98%,HW-Range=+3.79%/-3.79%),9619.20,109080.00,11.34
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=900.95%,HW-Range=+0.20%/-0.20%),9542.40,95515.00,10.01
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=215.07%,HW-Range=+3.86%/-3.86%),8947.20,28190.00,3.15
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=453.36%,HW-Range=+0.33%/-0.33%),5894.40,32617.00,5.53
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=70.66%,HW-Range=+0.21%/-0.21%),9351.00,15958.00,1.71
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=185.57%,HW-Range=+0.71%/-0.71%),5414.40,15462.00,2.86
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=23735.64%,HW-Range=+0.25%/-0.25%),7584.00,1807695.00,238.36


