QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 3 under, 13 over)) [Correl=0.3062 Err=1313.49%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,510582.00,367895.00,0.72
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,5334.00,138201.00,25.91
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,194776.00,1165587.00,5.98
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,324800.00,154224.00,0.47
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,11796.00,29106.00,2.47
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,2241.00,35220.00,15.72
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,151286.00,293096.00,1.94
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,9537.00,45129.00,4.73
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,190328.00,322485.00,1.69
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,7082.00,780416.00,110.20


