kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
CUDAStream.1.sm_30.ptx 540 : 262144 1572477 0 0 0 0 0 0 256 
CUDAStream.1.sm_30.ptx 539 : 262144 1842272 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 536 : 2621440 14166592 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 535 : 2621440 18433824 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 534 : 2621440 18397568 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 529 : 261888 2737119 0 17152 9216 0 0 0 0 
CUDAStream.1.sm_30.ptx 533 : 2621440 26363744 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 532 : 2621440 18497184 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 528 : 261888 3722709 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 508 : 102400 3139232 0 6400 3200 0 0 0 0 
CUDAStream.1.sm_30.ptx 506 : 102400 0 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 505 : 102400 721376 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 504 : 102400 1033088 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 503 : 102400 1445056 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 502 : 102400 50222912 90624 0 0 6400 3200 0 0 
CUDAStream.1.sm_30.ptx 501 : 102400 60480128 309760 0 0 6400 3200 0 0 
CUDAStream.1.sm_30.ptx 500 : 102400 1067968 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 499 : 102400 1069088 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 498 : 102400 1026112 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 495 : 102400 616256 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 480 : 262144 1577088 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 479 : 262144 1576544 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 478 : 262144 1576768 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 477 : 262144 1569376 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 476 : 262144 1642592 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 475 : 262144 1423040 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 474 : 262144 1479616 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 421 : 102400 614432 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 374 : 102400 3967840 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 420 : 102400 29507456 817152 0 0 6400 3200 0 0 
CUDAStream.1.sm_30.ptx 587 : 102400 614464 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 517 : 2621440 15749088 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 350 : 102400 617920 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 494 : 102400 734304 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 327 : 102400 614496 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 419 : 102400 1026144 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 586 : 102400 39284192 819200 0 0 6400 3200 0 0 
CUDAStream.1.sm_30.ptx 516 : 2621440 18382304 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 349 : 102400 616576 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 493 : 102400 738464 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 326 : 102400 21704704 253696 0 0 6400 3200 0 0 
CUDAStream.1.sm_30.ptx 418 : 102400 1435296 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 585 : 102400 1029600 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 348 : 102400 617312 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 492 : 102400 1036864 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 325 : 102400 1035488 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 417 : 102400 120965088 558720 0 0 6400 3200 0 0 
CUDAStream.1.sm_30.ptx 584 : 102400 37420480 819200 0 0 6400 3200 0 0 
CUDAStream.1.sm_30.ptx 347 : 102400 747840 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 491 : 102400 626080 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 324 : 102400 48449344 168960 0 0 6400 3200 0 0 
CUDAStream.1.sm_30.ptx 416 : 102400 1033152 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 583 : 102400 1032320 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 513 : 262144 0 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 346 : 102400 727040 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 405 : 102400 4202752 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 572 : 102400 10576128 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 404 : 102400 3791328 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 571 : 102400 11339840 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 403 : 102400 3795456 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 570 : 102400 9791840 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 569 : 102400 10689472 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 567 : 102400 13510112 128 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 568 : 102400 13076896 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 481 : 262144 2963136 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 314 : 102400 1929504 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 406 : 102400 735520 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 573 : 102400 724512 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 482 : 262144 1860288 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 315 : 102400 1777664 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 483 : 262144 1875616 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 316 : 102400 725664 0 0 0 0 0 0 0 
