kernel,kernel_id,stat,value
final_kernel,0,gpu_tot_sim_cycle,110012
final_kernel,0,const_cache_read_total,20
final_kernel,0,l2_cache_read_hit,29005
final_kernel,0,l2_cache_write_hit,7980
final_kernel,0,gpgpu_simulation_time_sec,113
final_kernel,0,gpgpu_n_tot_w_icount,1404032
final_kernel,0,gpu_occupancy,92.3515
final_kernel,0,kernel_launch_uid,6
final_kernel,0,gpgpu_simulation_rate,973
final_kernel,0,total_core_cache_read_hit,0
final_kernel,0,gpu_tot_ipc,396.6287
final_kernel,0,total_dram_reads,237056
final_kernel,0,l2_cache_write_total,45056
final_kernel,0,gpu_total_instructions,43633920
final_kernel,0,l2_cache_read_miss,22195
final_kernel,0,l2_cache_write_miss,37057
final_kernel,0,gpu_ipc,946.0276
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,total_core_cache_write_hit,0
final_kernel,0,l2_cache_read_total,51200
final_kernel,0,l2_bandwidth_gbps,33.9687
final_kernel,0,total_dram_writes,173207
final_kernel,0,gpgpu_silicon_slowdown,1651593
