kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
CUDAStream.1.sm_30.ptx 540 : 262144 1546336 0 0 0 0 0 0 256 
CUDAStream.1.sm_30.ptx 539 : 262144 1668192 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 508 : 10240 71808 0 640 320 0 0 0 0 
CUDAStream.1.sm_30.ptx 506 : 10240 0 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 505 : 10240 82272 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 504 : 10240 130752 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 503 : 10240 1172512 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 529 : 261888 1405760 0 17152 9216 0 0 0 0 
CUDAStream.1.sm_30.ptx 528 : 261888 30355776 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 536 : 2621440 15736320 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 535 : 2621440 20246912 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 502 : 10240 5339136 0 0 0 2560 320 0 0 
CUDAStream.1.sm_30.ptx 501 : 10240 5191168 0 0 0 2560 320 0 0 
CUDAStream.1.sm_30.ptx 534 : 2621440 18906240 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 533 : 2621440 32303296 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 500 : 10240 334080 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 532 : 2621440 16331328 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 499 : 10240 184032 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 498 : 10240 123520 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 495 : 10240 73280 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 480 : 262144 1928800 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 479 : 262144 1435200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 478 : 262144 2439104 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 477 : 262144 3457024 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 476 : 262144 3407872 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 475 : 262144 3407872 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 474 : 262144 6363616 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 421 : 10240 74816 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 374 : 10240 166080 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 420 : 10240 75680 0 0 0 2560 320 0 0 
CUDAStream.1.sm_30.ptx 587 : 10240 160960 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 517 : 2621440 15914816 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 350 : 10240 78080 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 494 : 10240 81600 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 327 : 10240 51200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 419 : 10240 174240 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 586 : 10240 1204160 0 0 0 2560 320 0 0 
CUDAStream.1.sm_30.ptx 516 : 2621440 16697088 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 349 : 10240 61440 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 493 : 10240 65280 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 326 : 10240 57376 0 0 0 2560 320 0 0 
CUDAStream.1.sm_30.ptx 418 : 10240 1307904 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 585 : 10240 556480 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 348 : 10240 61440 0 0 0 0 0 0 0 
