kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 329 : 262144 1602944 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 328 : 262144 2513120 1048576 0 0 8192 8192 0 0 
matrixMul.1.sm_30.ptx 327 : 262144 2730368 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 326 : 262144 2744480 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 325 : 262144 2049568 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 324 : 262144 3136960 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 323 : 262144 1610336 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 322 : 262144 2869280 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 321 : 262144 1596384 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 320 : 262144 3036704 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 319 : 262144 1951584 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 318 : 262144 1618528 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 315 : 4194304 24044896 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 314 : 4194304 29968352 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 313 : 4194304 42238752 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 312 : 4194304 43240864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 311 : 4194304 25174816 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 310 : 4194304 46875648 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 309 : 4194304 59762368 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 308 : 4194304 59730912 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 307 : 4194304 46969152 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 306 : 4194304 60146496 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 305 : 4194304 59921568 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 304 : 4194304 46968864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 303 : 4194304 60069728 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 302 : 4194304 60023520 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 301 : 4194304 46966112 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 300 : 4194304 60495040 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 299 : 4194304 60275136 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 298 : 4194304 46947552 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 297 : 4194304 60469664 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 296 : 4194304 60449632 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 295 : 4194304 46926816 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 294 : 4194304 60666816 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 293 : 4194304 60513920 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 292 : 4194304 46968576 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 291 : 4194304 60668736 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 290 : 4194304 60654464 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 289 : 4194304 46970304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 288 : 4194304 61107680 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 287 : 4194304 61007744 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 286 : 4194304 46980704 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 285 : 4194304 61062944 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 284 : 4194304 61038016 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 283 : 4194304 46948608 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 282 : 4194304 61493184 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 281 : 4194304 61338336 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 280 : 4194304 46955424 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 279 : 4194304 61296032 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 278 : 4194304 61280928 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 277 : 4194304 46990848 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 276 : 4194304 61866848 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 275 : 4194304 61597760 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 274 : 4194304 46985376 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 273 : 4194304 61669120 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 272 : 4194304 61631520 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 271 : 4194304 47045984 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 270 : 4194304 61907872 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 269 : 4194304 61795488 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 268 : 4194304 47079968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 267 : 4194304 61920480 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 266 : 4194304 61932160 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 265 : 4194304 47076224 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 264 : 4194304 62213376 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 263 : 4194304 62058080 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 262 : 4194304 47101184 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 261 : 4194304 62049056 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 260 : 4194304 62119968 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 259 : 4194304 47140384 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 258 : 4194304 62506272 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 257 : 4194304 62348352 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 256 : 4194304 47217504 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 255 : 4194304 62322688 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 254 : 4194304 62337152 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 253 : 4194304 47284096 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 252 : 4194304 62614592 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 251 : 4194304 62704288 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 250 : 4194304 47232640 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 205 : 4194304 42132864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 204 : 4194304 42217216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 201 : 262144 1599904 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 200 : 262144 1864640 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 199 : 262144 1586400 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 198 : 262144 2685760 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 197 : 262144 2694208 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 196 : 262144 2680384 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 195 : 262144 1588608 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 194 : 262144 2972416 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 193 : 262144 2689824 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 192 : 262144 1878464 0 0 0 0 0 0 0 
