kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 329 : 16384 116320 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 328 : 16384 119584 0 0 0 2048 512 0 0 
matrixMul.1.sm_30.ptx 327 : 16384 188352 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 326 : 16384 184800 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 325 : 16384 148352 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 324 : 16384 256064 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 323 : 16384 120672 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 322 : 16384 180448 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 321 : 16384 116736 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 320 : 16384 280000 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 319 : 16384 98304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 318 : 16384 98304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 315 : 65536 294912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 314 : 65536 462720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 313 : 65536 777984 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 312 : 65536 1094560 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 311 : 65536 512224 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 310 : 65536 607520 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 309 : 65536 2624864 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 308 : 65536 2600992 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 307 : 65536 609248 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 306 : 65536 2708832 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 305 : 65536 2684736 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 304 : 65536 619744 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 303 : 65536 2800480 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 302 : 65536 2860224 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 301 : 65536 623392 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 300 : 65536 2800416 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 299 : 65536 2811808 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 298 : 65536 634720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 297 : 65536 2838944 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 296 : 65536 2927840 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 295 : 65536 628224 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 294 : 65536 2805024 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 293 : 65536 2936192 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 292 : 65536 638912 0 0 0 0 0 0 0 
