kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 329 : 16384 115776 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 328 : 16384 120640 0 0 0 2048 512 0 0 
matrixMul.1.sm_30.ptx 327 : 16384 188224 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 326 : 16384 184000 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 325 : 16384 143360 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 324 : 16384 262080 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 323 : 16384 120576 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 322 : 16384 180864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 321 : 16384 116736 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 320 : 16384 280128 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 319 : 16384 98304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 318 : 16384 98304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 315 : 65536 294912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 314 : 65536 462976 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 313 : 65536 778496 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 312 : 65536 1094752 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 311 : 65536 510208 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 310 : 65536 606048 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 309 : 65536 2623776 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 308 : 65536 2600384 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 307 : 65536 608000 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 306 : 65536 2700736 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 305 : 65536 2679360 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 304 : 65536 617440 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 303 : 65536 2796576 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 302 : 65536 2851584 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 301 : 65536 620992 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 300 : 65536 2794592 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 299 : 65536 2806304 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 298 : 65536 631648 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 297 : 65536 2831584 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 296 : 65536 2915648 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 295 : 65536 625536 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 294 : 65536 2798656 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 293 : 65536 2929728 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 292 : 65536 635008 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 291 : 65536 2873536 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 290 : 65536 2862656 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 289 : 65536 621792 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 288 : 65536 3110944 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 287 : 65536 2963968 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 286 : 65536 632160 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 285 : 65536 2810208 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 284 : 65536 2892576 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 283 : 65536 634208 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 282 : 65536 2810528 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 281 : 65536 2873952 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 280 : 65536 630848 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 279 : 65536 2846592 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 278 : 65536 2900096 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 277 : 65536 629376 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 276 : 65536 2821696 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 275 : 65536 3004416 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 274 : 65536 627680 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 273 : 65536 2896000 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 272 : 65536 2971840 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 271 : 65536 632512 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 270 : 65536 3162240 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 269 : 65536 3334912 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 268 : 65536 639168 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 267 : 65536 3247360 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 266 : 65536 3280512 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 265 : 65536 653024 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 264 : 65536 2845632 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 263 : 65536 2906784 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 262 : 65536 664896 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 261 : 65536 2959296 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 260 : 65536 2953088 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 259 : 65536 652768 0 0 0 0 0 0 0 
