kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
transpose.1.sm_30.ptx 324 : 32768 163840 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 323 : 32768 163840 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 322 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 321 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 320 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 319 : 32768 1274432 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 318 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 317 : 32768 279680 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 316 : 32768 434368 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 315 : 32768 319680 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 314 : 32768 226080 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 313 : 32768 296480 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 312 : 32768 164224 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 311 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 310 : 32768 229376 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 309 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 308 : 32768 163840 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 307 : 32768 10102368 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 306 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 305 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 304 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 303 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 302 : 32768 235808 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 301 : 32768 301344 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 300 : 32768 196608 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 299 : 32768 195744 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 298 : 32768 196608 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 297 : 32768 868064 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 296 : 32768 248928 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 295 : 32768 234240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 285 : 32768 294560 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 284 : 32768 308096 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 280 : 32768 168320 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 279 : 32768 196608 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 278 : 32768 180224 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 277 : 32768 219360 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 276 : 32768 326784 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 275 : 32768 443488 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 274 : 32768 380960 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 273 : 32768 619520 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 272 : 32768 191488 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 369 : 32768 163840 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 368 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 367 : 32768 1331712 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 366 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 365 : 32768 278528 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 364 : 32768 311296 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 363 : 32768 196608 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 362 : 32768 163840 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 361 : 32768 164160 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 360 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 359 : 32768 228416 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 358 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 357 : 32768 163840 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 356 : 32768 9909152 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 355 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 354 : 32768 294912 0 0 0 0 0 0 0 
