kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
transpose.1.sm_30.ptx 324 : 4096 20480 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 323 : 4096 20480 0 0 0 512 128 0 0 
transpose.1.sm_30.ptx 322 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 321 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 320 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 319 : 4096 159552 0 256 128 0 0 0 0 
transpose.1.sm_30.ptx 318 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 317 : 4096 34816 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 316 : 4096 54272 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 315 : 4096 39936 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 314 : 4096 28480 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 313 : 4096 36960 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 312 : 4096 20480 0 256 128 0 0 0 0 
transpose.1.sm_30.ptx 311 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 310 : 4096 28672 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 309 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 308 : 4096 20480 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 307 : 4096 1036096 0 0 0 512 128 0 0 
transpose.1.sm_30.ptx 306 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 305 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 304 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 303 : 4096 36864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 302 : 4096 29440 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 301 : 4096 37632 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 300 : 4096 24576 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 299 : 4096 24544 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 298 : 4096 24576 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 297 : 4096 108512 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 296 : 4096 30816 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 295 : 4096 30400 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 285 : 4096 36448 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 284 : 4096 38624 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 280 : 4096 21600 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 279 : 4096 24576 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 278 : 4096 22528 0 0 0 0 0 0 0 
