kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 194 : 1024 6176 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 193 : 1024 23840 4096 0 0 32 32 0 0 
matrixMul.1.sm_30.ptx 192 : 1024 10464 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 191 : 1024 10304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 190 : 1024 7584 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 189 : 1024 12288 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 188 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 187 : 1024 10720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 186 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 185 : 1024 11328 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 184 : 1024 7200 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 183 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 180 : 1024 0 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 179 : 1024 7200 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 178 : 1024 10272 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 177 : 1024 10592 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 176 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 175 : 1024 11744 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 174 : 1024 11808 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 173 : 1024 11456 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 172 : 1024 11776 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 171 : 1024 12096 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 170 : 1024 11648 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 169 : 1024 11776 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 168 : 1024 11616 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 167 : 1024 11552 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 166 : 1024 11552 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 165 : 1024 10656 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 164 : 1024 14688 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 163 : 1024 12096 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 162 : 1024 15008 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 161 : 1024 14656 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 160 : 1024 12192 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 159 : 1024 14208 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 158 : 1024 14624 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 157 : 1024 11968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 156 : 1024 14208 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 155 : 1024 14272 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 154 : 1024 11648 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 153 : 1024 14112 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 152 : 1024 13440 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 151 : 1024 11680 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 150 : 1024 12992 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 149 : 1024 13216 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 148 : 1024 12064 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 147 : 1024 15424 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 146 : 1024 15328 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 145 : 1024 11776 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 144 : 1024 15456 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 143 : 1024 15456 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 142 : 1024 11712 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 141 : 1024 15168 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 140 : 1024 14976 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 139 : 1024 11616 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 138 : 1024 13920 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 137 : 1024 13856 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 136 : 1024 11264 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 135 : 1024 11424 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 134 : 1024 10816 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 133 : 1024 11456 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 132 : 1024 14240 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 131 : 1024 14048 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 130 : 1024 11872 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 129 : 1024 14176 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 128 : 1024 14272 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 127 : 1024 11968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 126 : 1024 13760 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 125 : 1024 13568 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 124 : 1024 11680 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 123 : 1024 13280 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 122 : 1024 13024 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 121 : 1024 11424 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 120 : 1024 13024 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 119 : 1024 12640 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 118 : 1024 11360 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 117 : 1024 10528 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 116 : 1024 14848 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 115 : 1024 11968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 70 : 1024 10240 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 69 : 1024 10240 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 66 : 1024 6272 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 65 : 1024 7168 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 64 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 63 : 1024 10368 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 62 : 1024 10272 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 61 : 1024 10368 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 60 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 59 : 1024 12288 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 58 : 1024 10240 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 57 : 1024 7424 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 56 : 1024 10400 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 55 : 1024 6208 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 54 : 1024 7616 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 53 : 1024 11840 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 52 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 51 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 39 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 38 : 1024 98080 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 37 : 1024 106624 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 36 : 1024 117184 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 71 : 1024 10272 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 34 : 1024 156384 128 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 113 : 1024 14112 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 72 : 1024 177248 0 0 0 32 32 0 0 
matrixMul.1.sm_30.ptx 35 : 1024 156320 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 114 : 1024 14432 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 40 : 1024 10464 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 41 : 1024 7264 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 42 : 1024 10368 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 43 : 1024 10336 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 44 : 1024 7200 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 45 : 1024 7296 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 46 : 1024 6208 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 47 : 1024 0 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 49 : 1024 7328 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 50 : 1024 7264 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 73 : 1024 7296 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 74 : 1024 11264 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 75 : 1024 10240 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 76 : 1024 10624 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 77 : 1024 143808 0 0 0 32 32 0 0 
matrixMul.1.sm_30.ptx 78 : 1024 5120 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 79 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 80 : 1024 12384 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 81 : 1024 12704 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 82 : 1024 12576 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 83 : 1024 13408 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 84 : 1024 13536 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 85 : 1024 11296 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 86 : 1024 10144 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 87 : 1024 10816 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 88 : 1024 11360 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 89 : 1024 11456 0 32 32 0 0 0 0 
