kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 194 : 16384 116320 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 193 : 16384 119584 0 0 0 2048 512 0 0 
matrixMul.1.sm_30.ptx 192 : 16384 188352 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 191 : 16384 184800 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 190 : 16384 148352 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 189 : 16384 256064 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 188 : 16384 120672 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 187 : 16384 180448 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 186 : 16384 116736 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 185 : 16384 280000 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 184 : 16384 98304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 183 : 16384 98304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 180 : 65536 294912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 179 : 65536 462720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 178 : 65536 777984 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 177 : 65536 1094560 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 176 : 65536 512224 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 175 : 65536 607520 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 174 : 65536 2624864 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 173 : 65536 2600992 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 172 : 65536 609248 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 171 : 65536 2708832 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 170 : 65536 2684736 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 169 : 65536 619744 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 168 : 65536 2800480 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 167 : 65536 2860224 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 166 : 65536 623392 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 165 : 65536 2800416 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 164 : 65536 2811808 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 163 : 65536 634720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 162 : 65536 2838944 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 161 : 65536 2927840 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 160 : 65536 628224 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 159 : 65536 2805024 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 158 : 65536 2936192 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 157 : 65536 638912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 156 : 65536 2890208 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 155 : 65536 2871360 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 154 : 65536 623584 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 153 : 65536 3161824 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 152 : 65536 2975296 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 151 : 65536 634592 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 150 : 65536 2818688 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 149 : 65536 2900544 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 148 : 65536 637344 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 147 : 65536 2818880 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 146 : 65536 2885888 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 145 : 65536 634240 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 144 : 65536 2858144 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 143 : 65536 2909696 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 142 : 65536 631616 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 141 : 65536 2826816 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 140 : 65536 3032128 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 139 : 65536 630080 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 138 : 65536 2902720 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 137 : 65536 2981056 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 136 : 65536 633312 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 135 : 65536 3088736 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 134 : 65536 3280480 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 133 : 65536 639680 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 132 : 65536 3180256 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 131 : 65536 3205344 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 130 : 65536 652192 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 129 : 65536 2841344 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 128 : 65536 2902144 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 127 : 65536 662176 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 126 : 65536 2945600 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 125 : 65536 2942336 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 124 : 65536 652992 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 123 : 65536 3037920 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 122 : 65536 2930912 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 121 : 65536 649152 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 120 : 65536 2996352 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 119 : 65536 3114848 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 118 : 65536 658368 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 117 : 65536 2896544 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 116 : 65536 3013472 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 115 : 65536 662112 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 70 : 65536 773376 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 69 : 65536 936192 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 66 : 16384 128512 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 65 : 16384 146432 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 64 : 16384 168960 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 63 : 16384 238592 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 62 : 16384 255488 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 61 : 16384 182784 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 60 : 16384 181248 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 59 : 16384 192512 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 58 : 16384 187904 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 57 : 16384 130048 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 56 : 16384 183296 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 55 : 16384 210432 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 54 : 16384 117760 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 53 : 16384 212480 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 52 : 16384 98304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 51 : 16384 105984 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 39 : 16384 165376 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 38 : 16384 216064 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 37 : 16384 212992 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 36 : 16384 212992 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 71 : 65536 767392 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 34 : 16384 462336 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 113 : 65536 3220480 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 72 : 65536 23638944 0 0 0 8192 2048 0 0 
matrixMul.1.sm_30.ptx 35 : 16384 212992 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 114 : 65536 2935840 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 40 : 16384 222720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 41 : 16384 122880 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 42 : 16384 247296 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 43 : 16384 178176 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 44 : 16384 258048 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 45 : 16384 113152 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 46 : 16384 109568 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 47 : 16384 0 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 49 : 16384 98304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 50 : 16384 112640 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 73 : 65536 289472 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 74 : 65536 655040 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 75 : 65536 645536 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 76 : 65536 649696 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 77 : 65536 19820864 0 0 0 8192 2048 0 0 
matrixMul.1.sm_30.ptx 78 : 65536 263776 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 79 : 65536 328480 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 80 : 65536 3067168 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 81 : 65536 2834464 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 82 : 65536 653824 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 83 : 65536 3236576 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 84 : 65536 3037216 0 2048 2048 0 0 0 0 
matrixMul.1.sm_30.ptx 85 : 65536 672320 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 86 : 65536 3274464 0 2048 2048 0 0 0 0 
