kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
transpose.1.sm_30.ptx 324 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 323 : 8192 113536 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 322 : 8192 82496 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 321 : 8192 81920 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 320 : 8192 90144 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 319 : 8192 107584 0 512 256 0 0 0 0 
transpose.1.sm_30.ptx 318 : 8192 85632 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 317 : 8192 58880 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 316 : 8192 91680 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 315 : 8192 85856 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 314 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 313 : 8192 82080 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 312 : 8192 49632 0 512 256 0 0 0 0 
transpose.1.sm_30.ptx 311 : 8192 84224 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 310 : 8192 57344 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 309 : 8192 91072 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 308 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 307 : 8192 1274624 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 306 : 8192 82752 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 305 : 8192 82592 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 304 : 8192 92000 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 303 : 8192 82016 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 302 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 301 : 8192 82112 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 300 : 8192 57344 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 299 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 298 : 8192 57536 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 297 : 8192 1401632 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 296 : 8192 57824 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 295 : 8192 58272 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 285 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 284 : 8192 90688 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 280 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 279 : 8192 57344 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 278 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 277 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 276 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 275 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 274 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 273 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 272 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 369 : 8192 126368 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 368 : 8192 82112 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 367 : 8192 104576 0 512 256 0 0 0 0 
transpose.1.sm_30.ptx 366 : 8192 83200 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 365 : 8192 59360 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 364 : 8192 92288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 363 : 8192 58784 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 362 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 361 : 8192 49152 0 512 256 0 0 0 0 
transpose.1.sm_30.ptx 360 : 8192 83648 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 359 : 8192 57504 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 358 : 8192 91552 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 357 : 8192 49408 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 356 : 8192 1278528 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 355 : 8192 83904 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 354 : 8192 82208 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 353 : 8192 57824 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 352 : 8192 90944 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 351 : 8192 82400 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 350 : 8192 49408 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 349 : 8192 60576 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 348 : 8192 49664 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 347 : 8192 83008 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 346 : 8192 49472 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 345 : 8192 57696 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 344 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 343 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 342 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 341 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 406 : 8192 57600 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 405 : 8192 90944 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 404 : 8192 49184 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 403 : 8192 1271200 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 402 : 8192 83456 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 401 : 8192 82240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 148 : 8192 83168 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 147 : 8192 82336 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 146 : 8192 1272064 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 145 : 8192 83872 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 144 : 8192 82304 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 143 : 8192 94784 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 142 : 8192 60160 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 141 : 8192 58720 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 140 : 8192 91776 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 139 : 8192 85504 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 138 : 8192 49376 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 137 : 8192 59008 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 136 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 135 : 8192 84320 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 134 : 8192 49280 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 133 : 8192 58208 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 132 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 109 : 8192 100640 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 108 : 8192 80352 0 256 256 0 0 0 0 
transpose.1.sm_30.ptx 106 : 8192 0 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 105 : 8192 59392 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 104 : 8192 84448 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 103 : 8192 61184 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 102 : 8192 58624 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 101 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 100 : 8192 57792 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 97 : 8192 49856 0 256 256 0 0 0 0 
transpose.1.sm_30.ptx 96 : 8192 1232832 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 94 : 8192 0 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 93 : 8192 59680 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 92 : 8192 83744 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 91 : 8192 57728 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 90 : 8192 86432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 89 : 8192 49344 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 88 : 8192 60448 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 87 : 8192 85408 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 254 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 86 : 8192 84256 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 253 : 8192 108512 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 48 : 8192 82752 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 85 : 8192 60672 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 252 : 8192 82976 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 47 : 8192 83264 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 84 : 8192 61024 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 251 : 8192 81920 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 46 : 8192 94912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 83 : 8192 94304 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 250 : 8192 90656 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 45 : 8192 58624 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 82 : 8192 83968 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 249 : 8192 102592 0 512 256 0 0 0 0 
transpose.1.sm_30.ptx 44 : 8192 59264 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 418 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 81 : 8192 49728 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 248 : 8192 83392 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 43 : 8192 82304 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 417 : 8192 119200 0 0 0 512 256 0 0 
transpose.1.sm_30.ptx 80 : 8192 60384 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 247 : 8192 58304 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 42 : 8192 87104 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 416 : 8192 83104 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 79 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 246 : 8192 91104 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 41 : 8192 49344 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 415 : 8192 81920 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 78 : 8192 86112 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 245 : 8192 58688 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 40 : 8192 61312 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 414 : 8192 91456 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 77 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 244 : 8192 84928 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 39 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 413 : 8192 107616 0 512 256 0 0 0 0 
transpose.1.sm_30.ptx 76 : 8192 61952 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 243 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 34 : 8192 1214080 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 201 : 8192 82112 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 408 : 8192 49568 0 512 256 0 0 0 0 
transpose.1.sm_30.ptx 71 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 238 : 8192 90464 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 112 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 370 : 8192 49152 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 33 : 8192 1213824 128 0 0 0 0 0 0 
transpose.1.sm_30.ptx 200 : 8192 81920 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 407 : 8192 83392 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 70 : 8192 32768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 237 : 8192 49216 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 35 : 8192 1210752 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 202 : 8192 184544 0 0 0 512 256 0 0 
