kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
CUDAStream.1.sm_30.ptx 540 : 524288 3144415 0 0 0 0 0 0 512 
CUDAStream.1.sm_30.ptx 539 : 524288 3679168 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 536 : 5242880 28329120 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 535 : 5242880 36864288 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 534 : 5242880 36789376 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 533 : 5242880 52712032 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 532 : 5242880 36982304 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 529 : 523776 5680509 0 34304 18432 0 0 0 0 
CUDAStream.1.sm_30.ptx 528 : 523776 7455343 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 508 : 2048 16832 0 128 64 0 0 0 0 
CUDAStream.1.sm_30.ptx 506 : 2048 0 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 505 : 2048 14560 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 504 : 2048 21088 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 503 : 2048 28992 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 502 : 2048 611424 0 0 0 128 64 0 0 
CUDAStream.1.sm_30.ptx 501 : 2048 519360 0 0 0 128 64 0 0 
CUDAStream.1.sm_30.ptx 500 : 2048 23264 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 499 : 2048 20672 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 498 : 2048 20480 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 495 : 2048 12288 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 480 : 524288 3153856 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 479 : 524288 3152224 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 478 : 524288 3153280 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 477 : 524288 2751232 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 476 : 524288 2828512 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 475 : 524288 4106880 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 474 : 524288 4104448 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 421 : 2048 12288 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 374 : 2048 146720 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 420 : 2048 12800 0 0 0 128 64 0 0 
CUDAStream.1.sm_30.ptx 587 : 1024 6144 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 517 : 5242880 31496864 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 350 : 2048 12320 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 494 : 2048 15360 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 327 : 2048 12288 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 419 : 2048 20480 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 586 : 1024 63520 8192 0 0 64 32 0 0 
CUDAStream.1.sm_30.ptx 516 : 5242880 36763200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 349 : 2048 12320 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 493 : 2048 14592 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 326 : 2048 12800 0 0 0 128 64 0 0 
CUDAStream.1.sm_30.ptx 418 : 2048 28896 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 585 : 1024 10272 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 348 : 2048 12320 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 492 : 2048 20832 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 325 : 2048 20544 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 417 : 2048 729568 0 0 0 128 64 0 0 
CUDAStream.1.sm_30.ptx 584 : 1024 63008 8192 0 0 64 32 0 0 
CUDAStream.1.sm_30.ptx 347 : 2048 14912 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 491 : 2048 12544 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 324 : 2048 464960 0 0 0 128 64 0 0 
CUDAStream.1.sm_30.ptx 416 : 2048 20480 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 583 : 1024 10432 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 513 : 524288 0 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 346 : 2048 14624 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 405 : 2048 106816 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 572 : 1024 16064 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 404 : 2048 108032 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 571 : 1024 17184 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 403 : 2048 112160 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 570 : 1024 144672 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 569 : 1024 149216 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 567 : 1024 166752 128 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 568 : 1024 160896 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 481 : 524288 5921920 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 314 : 2048 145408 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 406 : 2048 14592 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 573 : 1024 7296 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 482 : 524288 3708768 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 315 : 2048 145408 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 483 : 524288 3731840 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 316 : 2048 14752 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 484 : 524288 3148960 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 317 : 2048 14752 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 409 : 2048 12320 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 576 : 1024 6144 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 485 : 524288 5311136 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 318 : 2048 12320 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 410 : 2048 12288 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 577 : 1024 6176 0 0 0 0 0 0 0 
