kernel,kernel_id,stat,value
final_kernel,0,l2_cache_write_hit,2761
final_kernel,0,gpu_tot_ipc,810.2386
final_kernel,0,l2_cache_read_miss,0
final_kernel,0,gpgpu_simulation_rate,756
final_kernel,0,l2_cache_write_total,4736
final_kernel,0,total_core_cache_read_hit,0
final_kernel,0,kernel_launch_uid,6
final_kernel,0,gpgpu_simulation_time_sec,56
final_kernel,0,gpgpu_silicon_slowdown,2125661
final_kernel,0,total_core_cache_write_hit,0
final_kernel,0,gpu_occupancy,92.1095
final_kernel,0,total_dram_reads,7792
final_kernel,0,const_cache_read_total,20
final_kernel,0,total_dram_writes,7735
final_kernel,0,l2_bandwidth_gbps,4.5663
final_kernel,0,l2_cache_read_total,5120
final_kernel,0,gpgpu_n_tot_w_icount,1107392
final_kernel,0,gpu_ipc,1002.659
final_kernel,0,l2_cache_read_hit,5120
final_kernel,0,gpu_total_instructions,34325760
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,gpu_tot_sim_cycle,42365
final_kernel,0,l2_cache_write_miss,1936
