kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 329 : 4096 24576 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 328 : 4096 208000 16384 0 0 128 128 0 0 
matrixMul.1.sm_30.ptx 327 : 4096 41216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 326 : 4096 41216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 325 : 4096 31872 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 324 : 4096 48384 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 323 : 4096 24576 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 322 : 4096 41344 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 321 : 4096 24832 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 320 : 4096 45568 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 319 : 4096 28928 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 318 : 4096 24832 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 315 : 4096 0 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 314 : 4096 28928 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 313 : 4096 40960 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 312 : 4096 41088 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 311 : 4096 24576 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 310 : 4096 45440 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 309 : 4096 36864 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 308 : 4096 36864 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 307 : 4096 45312 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 306 : 4096 40704 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 305 : 4096 37632 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 304 : 4096 45184 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 303 : 4096 57216 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 302 : 4096 56192 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 301 : 4096 47360 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 300 : 4096 55936 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 299 : 4096 56064 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 298 : 4096 47616 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 297 : 4096 53120 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 296 : 4096 52608 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 295 : 4096 46208 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 294 : 4096 52096 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 293 : 4096 51712 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 292 : 4096 46080 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 291 : 4096 52224 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 290 : 4096 51968 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 289 : 4096 46976 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 288 : 4096 40576 0 128 128 0 0 0 0 
