kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 194 : 262144 1610368 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 193 : 262144 1889568 1048576 0 0 8192 8192 0 0 
matrixMul.1.sm_30.ptx 192 : 262144 2737280 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 191 : 262144 2734304 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 190 : 262144 1944160 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 189 : 262144 3152640 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 188 : 262144 1614016 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 187 : 262144 2843552 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 186 : 262144 1605472 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 185 : 262144 3059488 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 184 : 262144 1956960 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 183 : 262144 1599136 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 180 : 4194304 24031456 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 179 : 4194304 29959840 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 178 : 4194304 42241024 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 177 : 4194304 43235552 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 176 : 4194304 25173440 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 175 : 4194304 46867200 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 174 : 4194304 59665440 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 173 : 4194304 59562688 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 172 : 4194304 46968640 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 171 : 4194304 59859840 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 170 : 4194304 59748832 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 169 : 4194304 46974464 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 168 : 4194304 59851840 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 167 : 4194304 59725824 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 166 : 4194304 46950112 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 165 : 4194304 60160576 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 164 : 4194304 60113312 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 163 : 4194304 46949248 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 162 : 4194304 60165568 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 161 : 4194304 60049184 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 160 : 4194304 46924000 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 159 : 4194304 60546560 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 158 : 4194304 60461536 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 157 : 4194304 46954912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 156 : 4194304 60489792 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 155 : 4194304 60406432 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 154 : 4194304 46973952 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 153 : 4194304 60704992 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 152 : 4194304 60699360 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 151 : 4194304 46967584 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 150 : 4194304 60824416 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 149 : 4194304 60768992 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 148 : 4194304 46942176 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 147 : 4194304 61195776 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 146 : 4194304 61102144 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 145 : 4194304 46949248 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 144 : 4194304 61181440 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 143 : 4194304 61113152 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 142 : 4194304 46995904 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 141 : 4194304 61552576 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 140 : 4194304 61472448 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 139 : 4194304 46972512 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 138 : 4194304 61519328 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 137 : 4194304 61512896 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 136 : 4194304 47025920 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 135 : 4194304 61890400 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 134 : 4194304 61793248 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 133 : 4194304 47079968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 132 : 4194304 61900480 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 131 : 4194304 61905664 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 130 : 4194304 47065600 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 129 : 4194304 62248096 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 128 : 4194304 62125376 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 127 : 4194304 47088896 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 126 : 4194304 62176608 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 125 : 4194304 62167584 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 124 : 4194304 47144928 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 123 : 4194304 62387872 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 122 : 4194304 62369216 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 121 : 4194304 47232832 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 120 : 4194304 62372320 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 119 : 4194304 62456256 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 118 : 4194304 47277152 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 117 : 4194304 62535040 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 116 : 4194304 62599296 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 115 : 4194304 47244768 0 0 0 0 0 0 0 
