kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
vectorAdd.1.sm_30.ptx 52 : 1000448 6003488 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 49 : 1000000 320538464 8000000 0 0 62500 31250 0 0 
vectorAdd.1.sm_30.ptx 48 : 1000000 10007488 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 47 : 1000000 7002656 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 46 : 1000000 14013248 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 45 : 1000000 1263689152 8000000 0 0 62500 31250 0 0 
vectorAdd.1.sm_30.ptx 33 : 1000448 6010784 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 32 : 1000448 6017440 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 31 : 1000448 91369152 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 30 : 1000448 95318272 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 28 : 1000448 102660096 128 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 29 : 1000448 96269856 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 34 : 1000448 6016544 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 35 : 1000448 11195488 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 36 : 1000448 7212192 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 37 : 1000448 2688 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 39 : 1000000 7051072 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 40 : 1000000 10122976 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 41 : 1000000 10259168 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 42 : 1000000 7066688 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 43 : 1000000 10201728 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 44 : 1000000 1341740352 8000000 0 0 62500 31250 0 0 
