kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
CUDAStream.1.sm_30.ptx 540 : 262144 1541568 0 0 0 0 0 0 256 
CUDAStream.1.sm_30.ptx 539 : 262144 1661536 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 529 : 261888 1392128 0 17152 9216 0 0 0 0 
CUDAStream.1.sm_30.ptx 528 : 261888 30386400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 536 : 2621440 15648128 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 535 : 2621440 20177408 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 534 : 2621440 19012960 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 533 : 2621440 32135840 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 532 : 2621440 16366432 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 508 : 102400 1185728 0 6400 3200 0 0 0 0 
CUDAStream.1.sm_30.ptx 506 : 102400 0 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 505 : 102400 811232 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 504 : 102400 1466176 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 503 : 102400 12466112 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 502 : 102400 69338432 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 501 : 102400 66470144 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 500 : 102400 2305312 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 499 : 102400 1880576 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 498 : 102400 1556064 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 495 : 102400 979648 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 480 : 262144 1928896 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 479 : 262144 1427136 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 478 : 262144 2437952 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 477 : 262144 3457024 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 476 : 262144 3407872 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 475 : 262144 3407872 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 474 : 262144 6364672 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 421 : 102400 946976 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 374 : 102400 1667968 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 420 : 102400 1328160 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 587 : 102400 2026560 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 517 : 2621440 15961664 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 350 : 102400 781664 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 494 : 102400 823648 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 327 : 102400 520480 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 419 : 102400 2110496 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 586 : 102400 10902560 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 516 : 2621440 16607712 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 349 : 102400 614400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 493 : 102400 887488 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 326 : 102400 626400 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 418 : 102400 13885248 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 585 : 102400 4917728 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 348 : 102400 614400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 492 : 102400 1254432 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 325 : 102400 2634240 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 417 : 102400 78570848 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 584 : 102400 11766592 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 347 : 102400 614400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 491 : 102400 776000 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 324 : 102400 53952832 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 416 : 102400 2863424 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 583 : 102400 2477056 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 513 : 262144 0 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 346 : 102400 657600 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 405 : 102400 1350400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 572 : 102400 1350400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 404 : 102400 1331200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 571 : 102400 1331200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 403 : 102400 2076864 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 570 : 102400 1331200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 569 : 102400 1331200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 567 : 102400 3302976 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 568 : 102400 1331200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 481 : 262144 3165888 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 314 : 102400 1669088 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 406 : 102400 1054912 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 573 : 102400 1056608 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 482 : 262144 3033280 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 315 : 102400 1350400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 483 : 262144 1723712 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 316 : 102400 899936 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 484 : 262144 1792640 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 317 : 102400 651552 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 409 : 102400 614400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 576 : 102400 614400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 485 : 262144 3225792 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 318 : 102400 614400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 410 : 102400 642048 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 577 : 102400 614400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 486 : 262144 2140800 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 319 : 102400 614400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 411 : 102400 772096 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 578 : 102400 779616 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 487 : 262144 4446336 0 16384 8192 0 0 0 0 
CUDAStream.1.sm_30.ptx 320 : 102400 782400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 412 : 102400 1489536 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 579 : 102400 1567392 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 342 : 102400 2077664 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 488 : 262144 1910272 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 321 : 102400 1551744 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 413 : 102400 1456256 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 580 : 102400 1783840 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 343 : 102400 1331200 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 489 : 262144 967520 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 322 : 102400 1183872 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 414 : 102400 2001152 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 581 : 102400 1676672 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 511 : 262144 1942368 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 344 : 102400 1350400 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 323 : 102400 1230144 0 0 0 0 0 0 0 
CUDAStream.1.sm_30.ptx 415 : 102400 61778528 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 582 : 102400 5767008 0 0 0 25600 3200 0 0 
CUDAStream.1.sm_30.ptx 512 : 262144 1608768 0 0 0 0 0 0 0 
