kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 329 : 4096 28768 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 328 : 4096 30944 0 0 0 512 128 0 0 
matrixMul.1.sm_30.ptx 327 : 4096 46912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 326 : 4096 45280 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 325 : 4096 34400 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 324 : 4096 68448 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 323 : 4096 29760 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 322 : 4096 45376 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 321 : 4096 29184 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 320 : 4096 70080 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 319 : 4096 24576 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 318 : 4096 24576 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 315 : 4096 0 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 314 : 4096 29056 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 313 : 4096 48896 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 312 : 4096 74656 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 311 : 4096 33376 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 310 : 4096 37888 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 309 : 4096 164192 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 308 : 4096 163296 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 307 : 4096 37344 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 306 : 4096 166688 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 305 : 4096 166464 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 304 : 4096 37728 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 303 : 4096 173312 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 302 : 4096 175168 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 301 : 4096 37824 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 300 : 4096 172736 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 299 : 4096 173568 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 298 : 4096 38240 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 297 : 4096 174304 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 296 : 4096 177600 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 295 : 4096 38016 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 294 : 4096 172480 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 293 : 4096 180160 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 292 : 4096 38144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 291 : 4096 173248 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 290 : 4096 175424 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 289 : 4096 38112 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 288 : 4096 175008 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 287 : 4096 180352 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 286 : 4096 38496 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 285 : 4096 172256 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 284 : 4096 177312 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 283 : 4096 38368 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 282 : 4096 172320 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 281 : 4096 174816 0 128 128 0 0 0 0 
matrixMul.1.sm_30.ptx 280 : 4096 38080 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 279 : 4096 173312 0 128 128 0 0 0 0 
