kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
transpose.1.sm_30.ptx 324 : 2048 10240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 323 : 2048 10240 0 0 0 256 64 0 0 
transpose.1.sm_30.ptx 322 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 321 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 320 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 319 : 2048 80128 0 128 64 0 0 0 0 
transpose.1.sm_30.ptx 318 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 317 : 2048 17536 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 316 : 2048 27136 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 315 : 2048 19968 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 314 : 2048 14336 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 313 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 312 : 2048 10240 0 128 64 0 0 0 0 
transpose.1.sm_30.ptx 311 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 310 : 2048 14336 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 309 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 308 : 2048 10240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 307 : 2048 534272 0 0 0 256 64 0 0 
transpose.1.sm_30.ptx 306 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 305 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 304 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 303 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 302 : 2048 14848 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 301 : 2048 18944 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 300 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 299 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 298 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 297 : 2048 54528 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 296 : 2048 15616 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 295 : 2048 14080 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 285 : 2048 18688 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 284 : 2048 19200 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 280 : 2048 10240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 279 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 278 : 2048 11264 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 277 : 2048 12800 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 276 : 2048 20480 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 275 : 2048 27904 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 274 : 2048 23808 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 273 : 2048 38400 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 272 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 369 : 2048 10240 0 0 0 256 64 0 0 
transpose.1.sm_30.ptx 368 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 367 : 2048 83456 0 128 64 0 0 0 0 
transpose.1.sm_30.ptx 366 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 365 : 2048 17408 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 364 : 2048 19456 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 363 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 362 : 2048 10240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 361 : 2048 10240 0 128 64 0 0 0 0 
transpose.1.sm_30.ptx 360 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 359 : 2048 14208 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 358 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 357 : 2048 10240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 356 : 2048 516352 0 0 0 256 64 0 0 
transpose.1.sm_30.ptx 355 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 354 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 353 : 2048 15104 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 352 : 2048 19200 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 351 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 350 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 349 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 348 : 2048 15232 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 347 : 2048 18816 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 346 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 345 : 2048 12672 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 344 : 2048 18304 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 343 : 2048 25472 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 342 : 2048 30336 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 341 : 2048 12160 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 406 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 405 : 2048 19456 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 404 : 2048 13056 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 403 : 2048 528384 0 0 0 256 64 0 0 
transpose.1.sm_30.ptx 402 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 401 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 148 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 147 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 146 : 2048 527360 0 0 0 256 64 0 0 
transpose.1.sm_30.ptx 145 : 2048 18432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 144 : 2048 18944 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 143 : 2048 20736 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 142 : 2048 17664 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 141 : 2048 19968 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 140 : 2048 23808 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 139 : 2048 18688 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 138 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 137 : 2048 12288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 136 : 2048 15104 0 0 0 0 0 0 0 
