kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 194 : 262144 1851520 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 193 : 262144 1926144 0 0 0 32768 8192 0 0 
matrixMul.1.sm_30.ptx 192 : 262144 3014912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 191 : 262144 2960000 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 190 : 262144 2254912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 189 : 262144 4188864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 188 : 262144 1941952 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 187 : 262144 2894528 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 186 : 262144 1867776 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 185 : 262144 4482560 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 184 : 262144 1572864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 183 : 262144 1572864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 180 : 4194304 23592960 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 179 : 4194304 29601664 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 178 : 4194304 49766144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 177 : 4194304 68469664 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 176 : 4194304 32351680 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 175 : 4194304 38745184 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 174 : 4194304 167720000 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 173 : 4194304 166126208 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 172 : 4194304 39034176 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 171 : 4194304 173000320 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 170 : 4194304 171450880 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 169 : 4194304 39653696 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 168 : 4194304 179160736 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 167 : 4194304 182904128 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 166 : 4194304 39904288 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 165 : 4194304 179093856 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 164 : 4194304 179828384 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 163 : 4194304 40623232 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 162 : 4194304 181606080 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 161 : 4194304 187296992 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 160 : 4194304 40206720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 159 : 4194304 179487392 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 158 : 4194304 187975360 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 157 : 4194304 40886208 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 156 : 4194304 184896864 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 155 : 4194304 183758080 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 154 : 4194304 39915392 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 153 : 4194304 202168768 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 152 : 4194304 190486720 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 151 : 4194304 40621312 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 150 : 4194304 180394720 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 149 : 4194304 185690592 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 148 : 4194304 40792384 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 147 : 4194304 180408416 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 146 : 4194304 184702816 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 145 : 4194304 40588992 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 144 : 4194304 182917216 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 143 : 4194304 186273920 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 142 : 4194304 40430656 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 141 : 4194304 180946688 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 140 : 4194304 194015936 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 139 : 4194304 40366496 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 138 : 4194304 185886400 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 137 : 4194304 191057152 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 136 : 4194304 40694624 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 135 : 4194304 204927904 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 134 : 4194304 216889120 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 133 : 4194304 41175808 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 132 : 4194304 210874528 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 131 : 4194304 213367200 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 130 : 4194304 42119808 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 129 : 4194304 182746432 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 128 : 4194304 186699680 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 127 : 4194304 42968864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 126 : 4194304 190440640 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 125 : 4194304 189957056 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 124 : 4194304 42130016 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 123 : 4194304 196119680 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 122 : 4194304 188849728 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 121 : 4194304 41934080 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 120 : 4194304 194190400 0 131072 131072 0 0 0 0 
