kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
vectorAdd.1.sm_30.ptx 52 : 1000448 5179776 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 49 : 1000000 5123104 0 0 0 250000 31250 0 0 
vectorAdd.1.sm_30.ptx 48 : 1000000 9228480 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 47 : 1000000 6433024 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 46 : 1000000 95715776 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 45 : 1000000 1093883712 8000000 0 0 250000 31250 0 0 
vectorAdd.1.sm_30.ptx 33 : 1000448 5444128 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 32 : 1000448 9303872 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 31 : 1000448 13193408 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 30 : 1000448 13005824 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 28 : 1000448 24295104 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 29 : 1000448 13005824 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 34 : 1000448 7356864 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 35 : 1000448 12077728 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 36 : 1000448 14065920 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 37 : 1000448 3168 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 39 : 1000000 7916256 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 40 : 1000000 14580320 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 41 : 1000000 17161184 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 42 : 1000000 9084096 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 43 : 1000000 32178208 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 44 : 1000000 1068590368 8000000 0 0 250000 31250 0 0 
