kernel,kernel_id,stat,value
final_kernel,0,gpgpu_simulation_rate,387
final_kernel,0,total_dram_writes,202096
final_kernel,0,total_dram_reads,500000
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,total_core_cache_read_total,500000
final_kernel,0,gpu_total_instructions,21004928
final_kernel,0,gpu_tot_sim_cycle,56206
final_kernel,0,l2_cache_write_hit,0
final_kernel,0,gpgpu_simulation_time_sec,145
final_kernel,0,l2_bandwidth_gbps,313.8455
final_kernel,0,kernel_launch_uid,1
final_kernel,0,total_core_cache_read_hit,0
final_kernel,0,l2_cache_read_miss,125000
final_kernel,0,total_core_cache_write_hit,0
final_kernel,0,l2_cache_write_miss,62500
final_kernel,0,gpu_occupancy,54.3189
final_kernel,0,gpgpu_silicon_slowdown,1899224
final_kernel,0,total_core_cache_write_total,250000
final_kernel,0,l2_cache_read_total,500000
final_kernel,0,l2_cache_read_hit,0
final_kernel,0,gpu_tot_ipc,373.7133
final_kernel,0,l2_cache_write_total,250000
final_kernel,0,gpgpu_n_tot_w_icount,687654
final_kernel,0,gpu_ipc,373.7133
