kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 329 : 1024 7136 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 328 : 1024 7904 0 0 0 128 32 0 0 
matrixMul.1.sm_30.ptx 327 : 1024 11712 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 326 : 1024 11232 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 325 : 1024 7968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 324 : 1024 17856 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 323 : 1024 7424 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 322 : 1024 11392 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 321 : 1024 7296 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 320 : 1024 17536 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 319 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 318 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 315 : 1024 0 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 314 : 1024 7296 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 313 : 1024 12288 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 312 : 1024 18688 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 311 : 1024 7072 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 310 : 1024 9280 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 309 : 1024 40864 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 308 : 1024 40640 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 307 : 1024 9376 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 306 : 1024 40992 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 305 : 1024 41088 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 304 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 303 : 1024 42112 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 302 : 1024 41984 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 301 : 1024 9248 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 300 : 1024 41856 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 299 : 1024 41984 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 298 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 297 : 1024 41920 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 296 : 1024 42016 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 295 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 294 : 1024 42208 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 293 : 1024 42368 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 292 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 291 : 1024 42208 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 290 : 1024 42368 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 289 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 288 : 1024 42368 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 287 : 1024 42496 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 286 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 285 : 1024 42400 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 284 : 1024 42528 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 283 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 282 : 1024 42400 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 281 : 1024 42528 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 280 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 279 : 1024 42400 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 278 : 1024 42560 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 277 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 276 : 1024 42368 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 275 : 1024 42560 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 274 : 1024 9376 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 273 : 1024 42560 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 272 : 1024 43264 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 271 : 1024 9824 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 270 : 1024 69536 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 269 : 1024 68576 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 268 : 1024 10112 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 267 : 1024 69920 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 266 : 1024 73504 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 265 : 1024 10624 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 264 : 1024 45696 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 263 : 1024 45920 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 262 : 1024 11424 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 261 : 1024 49408 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 260 : 1024 48512 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 259 : 1024 10464 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 258 : 1024 47616 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 257 : 1024 47104 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 256 : 1024 10624 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 255 : 1024 51200 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 254 : 1024 48192 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 253 : 1024 10912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 252 : 1024 49728 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 251 : 1024 49280 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 250 : 1024 11200 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 205 : 1024 11072 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 204 : 1024 10784 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 201 : 1024 8032 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 200 : 1024 9152 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 199 : 1024 10560 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 198 : 1024 14912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 197 : 1024 15968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 196 : 1024 11424 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 195 : 1024 11328 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 194 : 1024 12032 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 193 : 1024 11744 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 192 : 1024 8128 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 191 : 1024 11456 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 190 : 1024 13152 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 189 : 1024 7360 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 188 : 1024 13280 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 187 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 186 : 1024 6624 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 174 : 1024 10336 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 173 : 1024 13504 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 172 : 1024 13312 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 171 : 1024 13312 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 206 : 1024 11616 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 169 : 1024 28896 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 248 : 1024 46400 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 207 : 1024 326304 0 0 0 128 32 0 0 
matrixMul.1.sm_30.ptx 170 : 1024 13312 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 249 : 1024 50272 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 175 : 1024 13920 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 176 : 1024 7680 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 177 : 1024 15456 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 178 : 1024 11136 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 179 : 1024 16128 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 180 : 1024 7072 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 181 : 1024 6848 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 182 : 1024 0 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 184 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 185 : 1024 7040 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 208 : 1024 4448 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 209 : 1024 10208 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 210 : 1024 10496 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 211 : 1024 10912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 212 : 1024 297600 0 0 0 128 32 0 0 
matrixMul.1.sm_30.ptx 213 : 1024 4096 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 214 : 1024 5120 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 215 : 1024 47904 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 216 : 1024 44224 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 217 : 1024 10528 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 218 : 1024 48480 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 219 : 1024 55296 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 220 : 1024 10528 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 221 : 1024 45504 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 222 : 1024 56640 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 223 : 1024 11808 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 224 : 1024 45856 0 32 32 0 0 0 0 
matrixMul.1.sm_30.ptx 225 : 1024 44512 0 32 32 0 0 0 0 
