kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_30.ptx 194 : 262144 1850784 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 193 : 262144 1930336 0 0 0 32768 8192 0 0 
matrixMul.1.sm_30.ptx 192 : 262144 3013792 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 191 : 262144 2954464 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 190 : 262144 2253216 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 189 : 262144 4203328 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 188 : 262144 1938464 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 187 : 262144 2895200 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 186 : 262144 1867776 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 185 : 262144 4482720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 184 : 262144 1572864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 183 : 262144 1572864 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 180 : 4194304 23592960 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 179 : 4194304 29599360 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 178 : 4194304 49761536 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 177 : 4194304 68467936 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 176 : 4194304 32385856 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 175 : 4194304 38734880 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 174 : 4194304 167688352 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 173 : 4194304 166087968 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 172 : 4194304 39030112 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 171 : 4194304 172947072 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 170 : 4194304 171402176 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 169 : 4194304 39652608 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 168 : 4194304 179205696 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 167 : 4194304 182948896 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 166 : 4194304 39903968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 165 : 4194304 179126944 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 164 : 4194304 179869216 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 163 : 4194304 40626720 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 162 : 4194304 181656800 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 161 : 4194304 187373696 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 160 : 4194304 40209248 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 159 : 4194304 179513152 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 158 : 4194304 188112576 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 157 : 4194304 40883456 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 156 : 4194304 184860448 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 155 : 4194304 183799968 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 154 : 4194304 39926080 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 153 : 4194304 201938112 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 152 : 4194304 190602592 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 151 : 4194304 40634368 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 150 : 4194304 180390208 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 149 : 4194304 185777056 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 148 : 4194304 40798912 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 147 : 4194304 180405344 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 146 : 4194304 184717504 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 145 : 4194304 40589024 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 144 : 4194304 182909120 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 143 : 4194304 186338976 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 142 : 4194304 40443008 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 141 : 4194304 180997248 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 140 : 4194304 193955648 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 139 : 4194304 40368096 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 138 : 4194304 185987712 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 137 : 4194304 191161408 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 136 : 4194304 40698816 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 135 : 4194304 204988960 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 134 : 4194304 216931104 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 133 : 4194304 41176896 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 132 : 4194304 210919840 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 131 : 4194304 213381760 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 130 : 4194304 42128416 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 129 : 4194304 182780832 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 128 : 4194304 186785824 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 127 : 4194304 42973920 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 126 : 4194304 190522144 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 125 : 4194304 190041312 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 124 : 4194304 42136192 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 123 : 4194304 196413472 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 122 : 4194304 188920544 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 121 : 4194304 41949856 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 120 : 4194304 194303232 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 119 : 4194304 201128960 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 118 : 4194304 42612320 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 117 : 4194304 187465888 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 116 : 4194304 194649760 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 115 : 4194304 42924192 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 70 : 4194304 50546112 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 69 : 4194304 64377312 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 66 : 262144 2234944 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 65 : 262144 2413728 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 64 : 262144 2568512 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 63 : 262144 3455936 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 62 : 262144 3731392 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 61 : 262144 3166016 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 60 : 262144 2700768 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 59 : 262144 3206560 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 58 : 262144 3077472 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 57 : 262144 2118848 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 56 : 262144 2989824 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 55 : 262144 2976448 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 54 : 262144 1966752 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 53 : 262144 3262240 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 52 : 262144 1585760 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 51 : 262144 1714464 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 39 : 262144 2567168 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 38 : 262144 3457024 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 37 : 262144 3407872 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 36 : 262144 3407872 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 71 : 4194304 49424128 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 34 : 262144 7412064 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 113 : 4194304 207866560 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 72 : 4194304 1434943872 0 0 0 524288 131072 0 0 
matrixMul.1.sm_30.ptx 35 : 262144 3407872 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 114 : 4194304 190049536 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 40 : 262144 3553504 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 41 : 262144 2023552 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 42 : 262144 3880320 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 43 : 262144 2857088 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 44 : 262144 3586464 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 45 : 262144 1908256 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 46 : 262144 1765760 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 47 : 262144 0 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 49 : 262144 1574656 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 50 : 262144 1791520 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 73 : 4194304 18151712 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 74 : 4194304 42687968 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 75 : 4194304 42317312 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 76 : 4194304 42367904 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 77 : 4194304 1252712000 0 0 0 524288 131072 0 0 
matrixMul.1.sm_30.ptx 78 : 4194304 17005216 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 79 : 4194304 20973696 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 80 : 4194304 196327360 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 81 : 4194304 181413920 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 82 : 4194304 41830144 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 83 : 4194304 206962208 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 84 : 4194304 198160256 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 85 : 4194304 43139072 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 86 : 4194304 205641664 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 87 : 4194304 206737600 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 88 : 4194304 44781632 0 0 0 0 0 0 0 
matrixMul.1.sm_30.ptx 89 : 4194304 194009888 0 131072 131072 0 0 0 0 
matrixMul.1.sm_30.ptx 90 : 4194304 246794240 0 131072 131072 0 0 0 0 
