kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
transpose.1.sm_30.ptx 324 : 32768 170080 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 323 : 32768 196160 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 322 : 32768 310304 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 321 : 32768 310240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 320 : 32768 312288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 319 : 32768 1301888 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 318 : 32768 314688 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 317 : 32768 289024 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 316 : 32768 430944 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 315 : 32768 329824 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 314 : 32768 238336 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 313 : 32768 309184 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 312 : 32768 180608 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 311 : 32768 302848 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 310 : 32768 254016 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 309 : 32768 322688 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 308 : 32768 183200 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 307 : 32768 8885568 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 306 : 32768 297792 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 305 : 32768 296352 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 304 : 32768 314880 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 303 : 32768 331424 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 302 : 32768 259552 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 301 : 32768 332736 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 300 : 32768 207008 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 299 : 32768 205376 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 298 : 32768 228064 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 297 : 32768 871744 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 296 : 32768 227296 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 295 : 32768 249472 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 285 : 32768 278400 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 284 : 32768 326112 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 280 : 32768 210784 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 279 : 32768 196608 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 278 : 32768 183616 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 277 : 32768 199264 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 276 : 32768 334912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 275 : 32768 440352 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 274 : 32768 405344 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 273 : 32768 510784 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 272 : 32768 445248 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 369 : 32768 171776 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 368 : 32768 321440 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 367 : 32768 1380416 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 366 : 32768 316832 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 365 : 32768 278624 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 364 : 32768 339872 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 363 : 32768 210048 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 362 : 32768 166592 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 361 : 32768 169856 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 360 : 32768 307840 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 359 : 32768 245824 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 358 : 32768 318912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 357 : 32768 191936 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 356 : 32768 9115264 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 355 : 32768 298400 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 354 : 32768 316096 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 353 : 32768 268000 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 352 : 32768 340864 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 351 : 32768 312768 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 350 : 32768 208352 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 349 : 32768 223584 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 348 : 32768 272992 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 347 : 32768 327840 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 346 : 32768 197376 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 345 : 32768 209760 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 344 : 32768 331904 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 343 : 32768 423584 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 342 : 32768 440928 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 341 : 32768 383424 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 406 : 32768 284064 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 405 : 32768 332128 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 404 : 32768 220608 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 403 : 32768 9017536 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 402 : 32768 294912 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 401 : 32768 302432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 148 : 32768 315168 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 147 : 32768 304448 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 146 : 32768 8887072 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 145 : 32768 314336 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 144 : 32768 312608 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 143 : 32768 370880 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 142 : 32768 287456 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 141 : 32768 307136 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 140 : 32768 383904 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 139 : 32768 320896 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 138 : 32768 208000 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 137 : 32768 223168 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 136 : 32768 269344 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 135 : 32768 326432 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 134 : 32768 196256 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 133 : 32768 196608 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 132 : 32768 366112 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 109 : 32768 301760 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 108 : 32768 1177312 0 1024 1024 0 0 0 0 
transpose.1.sm_30.ptx 106 : 32768 0 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 105 : 32768 235552 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 104 : 32768 312800 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 103 : 32768 198464 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 102 : 32768 204064 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 101 : 32768 199616 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 100 : 32768 198784 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 97 : 32768 132896 0 1024 1024 0 0 0 0 
transpose.1.sm_30.ptx 96 : 32768 8913120 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 94 : 32768 0 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 93 : 32768 243712 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 92 : 32768 318240 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 91 : 32768 253504 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 90 : 32768 336288 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 89 : 32768 259168 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 88 : 32768 272960 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 87 : 32768 330112 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 254 : 32768 169408 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 86 : 32768 338848 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 253 : 32768 185824 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 48 : 32768 311680 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 85 : 32768 400704 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 252 : 32768 301568 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 47 : 32768 301024 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 84 : 32768 264576 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 251 : 32768 306464 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 46 : 32768 350048 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 83 : 32768 345472 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 250 : 32768 312128 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 45 : 32768 261248 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 82 : 32768 318976 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 249 : 32768 1315552 0 2048 1024 0 0 0 0 
transpose.1.sm_30.ptx 44 : 32768 284512 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 418 : 32768 169920 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 81 : 32768 215200 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 248 : 32768 327648 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 43 : 32768 381088 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 417 : 32768 214304 0 0 0 4096 1024 0 0 
transpose.1.sm_30.ptx 80 : 32768 213184 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 247 : 32768 309056 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 42 : 32768 399360 0 0 0 0 0 0 0 
transpose.1.sm_30.ptx 416 : 32768 298208 0 0 0 0 0 0 0 
