kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
vectorAdd.1.sm_30.ptx 52 : 1000448 5173408 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 49 : 1000000 5149728 0 0 0 250000 31250 0 0 
vectorAdd.1.sm_30.ptx 48 : 1000000 9150016 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 47 : 1000000 6381664 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 46 : 1000000 89114848 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 45 : 1000000 1379413728 8000000 0 0 250000 31250 0 0 
vectorAdd.1.sm_30.ptx 33 : 1000448 5442112 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 32 : 1000448 9303584 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 31 : 1000448 13193408 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 30 : 1000448 13005824 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 28 : 1000448 24296160 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 29 : 1000448 13005824 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 34 : 1000448 7356096 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 35 : 1000448 12076960 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 36 : 1000448 14059840 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 37 : 1000448 3936 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 39 : 1000000 7900384 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 40 : 1000000 14538432 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 41 : 1000000 16906272 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 42 : 1000000 9078112 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 43 : 1000000 32280672 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 44 : 1000000 1361828576 8000000 0 0 250000 31250 0 0 
