kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
vectorAdd.1.sm_30.ptx 52 : 1000448 6003776 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 49 : 1000000 273299584 8000000 0 0 62500 31250 0 0 
vectorAdd.1.sm_30.ptx 48 : 1000000 10015008 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 47 : 1000000 7009248 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 46 : 1000000 14021280 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 45 : 1000000 1180806816 8000000 0 0 62500 31250 0 0 
vectorAdd.1.sm_30.ptx 33 : 1000448 6012864 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 32 : 1000448 6020352 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 31 : 1000448 80686176 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 30 : 1000448 84330784 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 28 : 1000448 90606816 128 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 29 : 1000448 85594784 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 34 : 1000448 6020096 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 35 : 1000448 11216288 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 36 : 1000448 7241440 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 37 : 1000448 2688 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 39 : 1000000 7061152 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 40 : 1000000 10144160 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 41 : 1000000 10297856 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 42 : 1000000 7076704 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 43 : 1000000 10230848 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 44 : 1000000 1246822080 8000000 0 0 62500 31250 0 0 
