kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
vectorAdd.1.sm_30.ptx 52 : 1000448 5032672 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 49 : 1000000 5595680 0 0 0 250000 31250 0 0 
vectorAdd.1.sm_30.ptx 48 : 1000000 9023776 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 47 : 1000000 6024992 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 46 : 1000000 73160736 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 45 : 1000000 5157343968 8000000 0 0 250000 31250 0 0 
vectorAdd.1.sm_30.ptx 33 : 1000448 5452864 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 32 : 1000448 9305120 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 31 : 1000448 13193408 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 30 : 1000448 13005824 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 28 : 1000448 24294464 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 29 : 1000448 13005824 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 34 : 1000448 7356256 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 35 : 1000448 12077120 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 36 : 1000448 14062112 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 37 : 1000448 3200 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 39 : 1000000 7902944 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 40 : 1000000 14324256 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 41 : 1000000 16825248 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 42 : 1000000 9064192 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 43 : 1000000 32393152 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 44 : 1000000 4671810208 8000000 0 0 250000 31250 0 0 
