kernel,kernel_id,stat,value
final_kernel,0,gpgpu_simulation_time_sec,24
final_kernel,0,kernel_launch_uid,6
final_kernel,0,gpu_ipc,816.6793
final_kernel,0,l2_cache_read_total,512
final_kernel,0,l2_cache_read_miss,0
final_kernel,0,total_core_cache_write_hit,0
final_kernel,0,l2_cache_write_hit,449
final_kernel,0,gpgpu_n_tot_w_icount,1390176
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,gpgpu_silicon_slowdown,924626
final_kernel,0,gpgpu_simulation_rate,1738
final_kernel,0,total_dram_writes,831
final_kernel,0,total_core_cache_read_hit,0
final_kernel,0,l2_cache_read_hit,512
final_kernel,0,gpu_tot_ipc,712.9079
final_kernel,0,gpu_tot_sim_cycle,41714
final_kernel,0,l2_bandwidth_gbps,1.2534
final_kernel,0,gpu_occupancy,94.1474
final_kernel,0,gpu_total_instructions,29738240
final_kernel,0,l2_cache_write_total,704
final_kernel,0,l2_cache_write_miss,208
final_kernel,0,total_dram_reads,856
