kernel,kernel_id,stat,value
final_kernel,0,gpu_occupancy,54.2218
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,total_dram_writes,202144
final_kernel,0,l2_cache_write_hit,0
final_kernel,0,l2_cache_write_miss,62500
final_kernel,0,l2_cache_read_miss,125000
final_kernel,0,gpgpu_silicon_slowdown,1093750
final_kernel,0,total_dram_reads,500000
final_kernel,0,gpu_tot_ipc,278.8656
final_kernel,0,gpu_total_instructions,15002688
final_kernel,0,gpu_ipc,278.8656
final_kernel,0,total_core_cache_read_total,500000
final_kernel,0,kernel_launch_uid,1
final_kernel,0,l2_cache_write_total,250000
final_kernel,0,total_core_cache_write_hit,0
final_kernel,0,gpgpu_simulation_time_sec,80
final_kernel,0,l2_cache_read_total,500000
final_kernel,0,gpgpu_simulation_rate,672
final_kernel,0,total_core_cache_read_hit,0
final_kernel,0,gpgpu_n_tot_w_icount,500084
final_kernel,0,l2_cache_read_hit,0
final_kernel,0,l2_bandwidth_gbps,327.8871
final_kernel,0,total_core_cache_write_total,250000
final_kernel,0,gpu_tot_sim_cycle,53799
