Section,Stat,Value
SM 20,DPU Instructions,0
SM 0,IMU Instructions,136
SM 52,RegistersWrites,0
Config.DPU,ReadBufferSize,15
SM 27,IMU Instructions,168
SM 10,InstructionsPerCycle,0
SM 21,LDS Instructions,104
SM 29,BlockCount,2
SM 43,RegistersReads,0
SM 57,SFU Instructions,536
SM 54,SFU Instructions,536
SM 1,RegistersWrites,0
SM 50,BlockCount,1
SM 5,BlockCount,2
Config.DPU,Width,1
SM 21,SPU Instructions,0
SM 49,InstructionsPerCycle,0
SM 55,Cycles,101457
SM 50,SPU Instructions,0
SM 73,IMU Instructions,88
SM 4,InstructionsPerCycle,0
SM 7,RegistersWrites,0
SM 78,IMU Instructions,88
SM 43,Cycles,101457
SM 77,InstructionsPerCycle,0
SM 20,SPU Instructions,0
SM 56,SPU Instructions,0
SM 72,DPU Instructions,0
SM 5,InstructionsPerCycle,0
SM 56,BRU Instructions,96
SM 73,Cycles,101457
SM 41,LDS Instructions,96
SM 35,SFU Instructions,1088
SM 73,SPU Instructions,0
Config.DPU,WriteBufferSize,12
SM 11,SPU Instructions,0
SM 24,RegistersReads,0
SM 17,LDS Instructions,104
SM 42,InstructionsPerCycle,0
SM 58,SPU Instructions,0
SM 77,BlockCount,1
SM 32,RegistersReads,0
SM 70,IMU Instructions,88
SM 68,DPU Instructions,0
SM 52,LDS Instructions,48
SM 36,RegistersWrites,0
SM 19,SFU Instructions,1000
SM 71,RegistersReads,0
Config.FrontEnd,FetchLatency,2
SM 83,LDS Instructions,48
SM 48,RegistersReads,0
SM 45,DPU Instructions,0
SM 30,BRU Instructions,296
SM 43,BlockCount,2
SM 53,DPU Instructions,0
SM 59,RegistersReads,0
SM 29,BRU Instructions,296
SM 33,DPU Instructions,24
SM 76,RegistersReads,0
SM 6,InstructionsPerCycle,0
SM 17,BRU Instructions,272
SM 53,RegistersReads,0
SM 53,InstructionsPerCycle,0
Config.DPU,ReadLatency,15
SM 29,IMU Instructions,208
SM 37,SFU Instructions,1088
SM 46,InstructionsPerCycle,0
SM 75,RegistersWrites,0
SM 75,InstructionsPerCycle,0
SM 60,RegistersReads,0
SM 22,DPU Instructions,0
SM 54,DPU Instructions,0
SM 3,LDS Instructions,88
SM 37,SPU Instructions,0
SM 39,IMU Instructions,128
SM 19,RegistersReads,0
SM 47,DPU Instructions,0
Config.SM,MaxBlocksPerWarpPool,4
SM 83,BlockCount,1
SM 25,LDS Instructions,104
SM 48,SPU Instructions,0
SM 23,BlockCount,2
SM 27,DPU Instructions,0
SM 52,SFU Instructions,536
SM 53,BlockCount,1
SM 12,LDS Instructions,88
SM 0,BRU Instructions,152
Config.DPU,WriteLatency,12
SM 35,SPU Instructions,0
SM 78,BlockCount,1
SM 69,RegistersReads,0
SM 71,SFU Instructions,552
SM 78,RegistersWrites,0
SM 24,RegistersWrites,0
SM 64,DPU Instructions,0
SM 9,InstructionsPerCycle,0
SM 17,SPU Instructions,0
SM 80,Cycles,101457
SM 20,BRU Instructions,272
SM 14,BlockCount,2
Config.LSU,WriteLatency,1
SM 43,RegistersWrites,0
SM 58,DPU Instructions,0
SM 10,SFU Instructions,800
SM 54,BlockCount,1
SM 71,LDS Instructions,48
Config.BRU,ExecutionLatency,5
SM 45,InstructionsPerCycle,0
SM 78,InstructionsPerCycle,0
SM 50,LDS Instructions,48
SM 57,IMU Instructions,104
SM 35,IMU Instructions,128
Config.IMU,ReadBufferSize,1
SM 62,SFU Instructions,536
SM 51,BRU Instructions,96
SM 23,RegistersReads,0
SM 81,InstructionsPerCycle,0
SM 0,RegistersReads,0
SM 60,Cycles,101457
SM 57,BRU Instructions,96
SM 59,SFU Instructions,536
SM 42,SFU Instructions,1088
SM 82,LDS Instructions,48
SM 67,RegistersWrites,0
SM 57,BlockCount,1
SM 49,RegistersReads,0
SM 65,BlockCount,1
