Section,Stat,Value
Config.LSU,WriteLatency,1
SM 9,BlockCount,13
Config.IMU,NumSPULanes,32
SM 14,SFU Instructions,6616
SM 7,RegistersWrites,0
Config.SPU,WriteLatency,1
SM 1,DPU Instructions,24
SM 1,Cycles,50592
SM 18,Cycles,50592
SM 19,InstructionsPerCycle,0
Config.BRU,Width,1
SM 8,RegistersReads,0
SM 10,RegistersReads,0
Config.DPU,ExecutionBufferSize,15
Config.BRU,WriteLatency,5
SM 11,BlockCount,13
SM 15,InstructionsPerCycle,0
Config.DPU,WriteBufferSize,12
SM 0,RegistersWrites,0
SM 8,LDS Instructions,616
SM 8,InstructionsPerCycle,0
SM 10,SFU Instructions,6416
SM 14,RegistersWrites,0
SM 16,IMU Instructions,984
SM 2,LDS Instructions,624
SM 3,InstructionsPerCycle,0
SM 16,Cycles,50592
Config.IMU,WriteBufferSize,1
SM 0,IMU Instructions,1032
SM 9,BRU Instructions,1216
SM 13,IMU Instructions,1008
SM 11,IMU Instructions,976
Config.FrontEnd,FetchLatency,2
SM 10,Cycles,50592
SM 8,DPU Instructions,48
SM 12,SPU Instructions,0
SM 9,RegistersReads,0
SM 12,BlockCount,13
Config.DPU,NumSPULanes,32
SM 7,IMU Instructions,992
SM 1,IMU Instructions,1032
SM 3,LDS Instructions,624
SM 6,IMU Instructions,992
SM 13,RegistersReads,0
SM 7,SPU Instructions,0
Config.SM,MaxBlocksPerWarpPool,4
SM 17,BRU Instructions,1256
SM 8,IMU Instructions,976
SM 2,BRU Instructions,1312
SM 13,BlockCount,13
Config.SFU,DispatchBufferSize,2
SM 18,DPU Instructions,24
SM 6,DPU Instructions,48
Config.SFU,ExecutionBufferSize,1
Config.SPU,ReadLatency,1
SM 14,SPU Instructions,0
Config.IMU,DispatchBufferSize,2
SM 3,DPU Instructions,24
SM 18,BRU Instructions,1256
Config.SPU,NumSPULanes,32
SM 19,Cycles,50592
Device,GridCount,0
Config.FrontEnd,FetchBufferSize,10
SM 11,BRU Instructions,1216
Config.LSU,WriteBufferSize,1
SM 1,SFU Instructions,6312
Config.SFU,ExecutionLatency,1
SM 8,Cycles,50592
SM 16,RegistersWrites,0
SM 15,LDS Instructions,632
SM 18,LDS Instructions,584
SM 12,IMU Instructions,1008
SM 0,InstructionsPerCycle,0
Config.IMU,WriteLatency,1
SM 12,InstructionsPerCycle,0
SM 4,SPU Instructions,0
SM 15,BlockCount,13
SM 11,Cycles,50592
SM 8,BlockCount,13
SM 10,BRU Instructions,1216
Config.BRU,ReadLatency,5
SM 19,SFU Instructions,6064
Config.FrontEnd,DispatchWidth,5
SM 17,LDS Instructions,584
Config.SPU,ExecutionBufferSize,1
Config.IMU,ReadLatency,1
SM 6,SPU Instructions,0
Device,Instructions,0
SM 2,DPU Instructions,24
SM 1,InstructionsPerCycle,0
SM 16,DPU Instructions,24
SM 5,SPU Instructions,0
SM 2,IMU Instructions,1032
SM 10,LDS Instructions,616
