Section,Stat,Value
SM 36,SFU Instructions,11133
SM 45,LDS Instructions,1064
Config.IMU,DispatchBufferSize,2
Config.DPU,ExecutionLatency,15
Config.SFU,ExecutionBufferSize,1
SM 14,SFU Instructions,10580
SM 24,SPU Instructions,0
Config.SPU,ReadBufferSize,1
SM 6,InstructionsPerCycle,0
SM 23,BlockCount,22
SM 29,LDS Instructions,1048
SM 36,DPU Instructions,72
SM 38,BlockCount,22
SM 22,LDS Instructions,1056
SM 39,SFU Instructions,11133
SM 20,InstructionsPerCycle,0
SM 22,BlockCount,22
SM 42,RegistersReads,0
SM 2,DPU Instructions,72
SM 11,SFU Instructions,11397
SM 24,DPU Instructions,72
SM 34,SFU Instructions,10873
SM 29,Cycles,62957
SM 45,DPU Instructions,72
Config.SFU,DispatchBufferSize,2
SM 18,IMU Instructions,1740
SM 19,LDS Instructions,1056
SM 0,LDS Instructions,1104
SM 1,Cycles,62957
SM 14,SPU Instructions,0
SM 10,IMU Instructions,1763
SM 36,InstructionsPerCycle,0
SM 28,LDS Instructions,1048
SM 11,RegistersReads,0
SM 13,Cycles,62957
SM 39,InstructionsPerCycle,0
SM 40,BRU Instructions,2224
SM 16,DPU Instructions,48
SM 9,Cycles,62957
SM 10,RegistersWrites,0
SM 44,InstructionsPerCycle,0
SM 20,BRU Instructions,2200
SM 45,Cycles,62957
Config.SM,NumWarpPools,4
SM 31,DPU Instructions,72
SM 4,DPU Instructions,72
SM 21,IMU Instructions,1740
Config.SPU,WriteLatency,1
SM 21,RegistersReads,0
SM 33,IMU Instructions,1663
SM 1,RegistersReads,0
SM 14,InstructionsPerCycle,0
SM 21,SFU Instructions,10844
SM 33,RegistersWrites,0
SM 3,InstructionsPerCycle,0
SM 16,RegistersWrites,0
SM 18,RegistersReads,0
SM 4,BRU Instructions,2280
SM 24,RegistersReads,0
SM 36,BRU Instructions,2224
SM 39,SPU Instructions,0
SM 13,SPU Instructions,0
SM 25,BRU Instructions,2224
SM 44,Cycles,62957
SM 8,BRU Instructions,2280
SM 22,SPU Instructions,0
SM 39,Cycles,62957
SM 43,SPU Instructions,0
SM 36,LDS Instructions,1064
SM 1,IMU Instructions,1779
SM 33,BRU Instructions,2104
SM 34,Cycles,62957
SM 39,RegistersWrites,0
SM 10,DPU Instructions,72
SM 30,LDS Instructions,1048
Device,GridCount,0
SM 38,DPU Instructions,72
SM 2,LDS Instructions,1104
SM 39,BlockCount,22
SM 25,BlockCount,22
SM 13,SFU Instructions,10580
SM 28,Cycles,62957
SM 41,Cycles,62957
SM 21,Cycles,62957
SM 27,IMU Instructions,1703
Config.SFU,Width,1
SM 37,LDS Instructions,1064
SM 16,SPU Instructions,0
SM 31,IMU Instructions,1703
SM 21,LDS Instructions,1056
SM 23,LDS Instructions,1056
Config.IMU,ExecutionLatency,1
SM 17,LDS Instructions,1056
SM 33,SPU Instructions,0
SM 35,LDS Instructions,1048
SM 29,RegistersReads,0
SM 8,SFU Instructions,11397
SM 10,Cycles,62957
Config.SFU,WriteLatency,1
SM 11,InstructionsPerCycle,0
SM 16,IMU Instructions,1740
SM 17,IMU Instructions,1740
SM 0,SPU Instructions,0
SM 40,BlockCount,22
SM 2,RegistersWrites,0
SM 3,IMU Instructions,1779
SM 26,IMU Instructions,1703
SM 8,IMU Instructions,1763
SM 32,BlockCount,22
SM 5,Cycles,62957
SM 26,DPU Instructions,72
SM 38,InstructionsPerCycle,0
SM 23,DPU Instructions,72
SM 22,RegistersReads,0
SM 12,DPU Instructions,48
SM 30,BlockCount,22
SM 37,SPU Instructions,0
SM 14,IMU Instructions,1676
SM 38,RegistersReads,0
SM 42,SPU Instructions,0
SM 28,IMU Instructions,1703
SM 19,IMU Instructions,1740
SM 43,LDS Instructions,1064
Config.SPU,WriteBufferSize,1
SM 7,InstructionsPerCycle,0
SM 33,RegistersReads,0
SM 33,Cycles,62957
SM 0,BRU Instructions,2280
SM 19,Cycles,62957
SM 5,RegistersWrites,0
SM 17,SFU Instructions,10844
SM 41,InstructionsPerCycle,0
SM 2,SFU Instructions,11381
SM 22,SFU Instructions,11165
Config.SPU,DispatchBufferSize,2
SM 9,SFU Instructions,11397
SM 12,SFU Instructions,10580
SM 36,RegistersWrites,0
Config.SPU,ReadLatency,1
Config.Device,NumSM,46
Config.SFU,WriteBufferSize,1
SM 14,BRU Instructions,2160
SM 24,Cycles,62957
SM 32,IMU Instructions,1663
SM 32,BRU Instructions,2104
SM 33,InstructionsPerCycle,0
SM 41,BlockCount,22
SM 44,DPU Instructions,72
SM 23,RegistersWrites,0
SM 42,InstructionsPerCycle,0
Config.SM,MaxWarpsPerWarpPool,32
SM 42,BlockCount,22
SM 9,RegistersReads,0
Device,Cycles,62957
SM 15,BRU Instructions,2160
SM 9,RegistersWrites,0
SM 19,BRU Instructions,2200
SM 39,LDS Instructions,1064
SM 8,LDS Instructions,1104
SM 41,RegistersWrites,0
SM 5,LDS Instructions,1104
SM 38,RegistersWrites,0
SM 28,BRU Instructions,2104
SM 35,Cycles,62957
SM 8,SPU Instructions,0
SM 18,SPU Instructions,0
SM 22,Cycles,62957
SM 25,RegistersReads,0
SM 19,RegistersWrites,0
SM 10,SPU Instructions,0
SM 5,BlockCount,23
SM 13,DPU Instructions,48
Config.SFU,ReadLatency,1
SM 29,InstructionsPerCycle,0
SM 12,SPU Instructions,0
SM 16,SFU Instructions,10844
SM 26,InstructionsPerCycle,0
SM 29,RegistersWrites,0
SM 37,BRU Instructions,2224
SM 35,BlockCount,22
SM 36,SPU Instructions,0
SM 16,BRU Instructions,2200
SM 40,DPU Instructions,72
Config.IMU,WriteLatency,1
Config.BRU,NumSPULanes,32
SM 42,RegistersWrites,0
SM 17,SPU Instructions,0
SM 11,BlockCount,23
SM 44,SPU Instructions,0
SM 0,IMU Instructions,1779
SM 6,DPU Instructions,72
SM 23,IMU Instructions,1779
SM 37,IMU Instructions,1731
SM 17,BlockCount,22
SM 9,DPU Instructions,72
SM 44,BRU Instructions,2224
SM 1,SPU Instructions,0
SM 43,RegistersWrites,0
SM 44,RegistersWrites,0
SM 5,DPU Instructions,72
SM 35,SFU Instructions,10873
SM 18,BRU Instructions,2200
SM 6,BRU Instructions,2280
SM 38,SPU Instructions,0
SM 1,SFU Instructions,11381
SM 3,BlockCount,23
SM 35,SPU Instructions,0
SM 27,LDS Instructions,1048
Config.IMU,ExecutionBufferSize,1
SM 17,DPU Instructions,48
SM 25,IMU Instructions,1779
SM 17,RegistersWrites,0
Config.BRU,WriteLatency,5
SM 31,LDS Instructions,1048
SM 0,Cycles,62957
SM 21,BRU Instructions,2200
SM 17,BRU Instructions,2200
SM 27,RegistersReads,0
SM 24,InstructionsPerCycle,0
SM 8,RegistersReads,0
SM 30,BRU Instructions,2104
SM 45,SPU Instructions,0
SM 34,BRU Instructions,2104
SM 34,RegistersReads,0
SM 36,Cycles,62957
Config.DPU,ReadLatency,15
Config.IMU,NumSPULanes,32
SM 14,BlockCount,22
SM 27,BlockCount,22
SM 37,Cycles,62957
SM 31,SPU Instructions,0
SM 40,RegistersWrites,0
SM 7,DPU Instructions,72
SM 30,SPU Instructions,0
SM 5,RegistersReads,0
SM 34,InstructionsPerCycle,0
SM 11,LDS Instructions,1104
SM 0,RegistersReads,0
SM 35,RegistersWrites,0
SM 3,RegistersReads,0
SM 14,DPU Instructions,48
Config.BRU,ExecutionLatency,5
Device,Instructions,0
SM 20,BlockCount,22
SM 29,BRU Instructions,2104
SM 5,BRU Instructions,2280
SM 16,BlockCount,22
SM 0,SFU Instructions,11381
