Section,Stat,Value
SM 6,SFU Instructions,3208
SM 12,Cycles,50604
SM 22,LDS Instructions,280
SM 1,RegistersWrites,0
SM 5,RegistersWrites,0
SM 23,Cycles,50604
SM 32,BRU Instructions,520
SM 10,IMU Instructions,496
SM 38,InstructionsPerCycle,0
SM 12,LDS Instructions,288
SM 29,InstructionsPerCycle,0
SM 40,SFU Instructions,2696
SM 8,DPU Instructions,24
SM 22,BRU Instructions,520
SM 26,SFU Instructions,2104
SM 15,SFU Instructions,3152
SM 32,IMU Instructions,400
SM 29,DPU Instructions,0
SM 9,RegistersWrites,0
SM 10,BRU Instructions,640
SM 13,BlockCount,6
SM 2,BlockCount,6
SM 29,RegistersReads,0
SM 9,SFU Instructions,3152
SM 31,BlockCount,5
SM 37,InstructionsPerCycle,0
SM 36,IMU Instructions,384
Config.BRU,ReadLatency,5
SM 32,RegistersReads,0
SM 36,DPU Instructions,0
SM 24,BRU Instructions,520
SM 29,SPU Instructions,0
SM 0,DPU Instructions,24
SM 3,SFU Instructions,2944
SM 18,Cycles,50604
SM 43,SPU Instructions,0
SM 30,IMU Instructions,328
SM 36,SPU Instructions,0
SM 34,RegistersReads,0
SM 45,InstructionsPerCycle,0
SM 37,DPU Instructions,0
SM 25,BRU Instructions,520
SM 31,InstructionsPerCycle,0
SM 19,Cycles,50604
SM 0,IMU Instructions,472
SM 38,BlockCount,5
SM 15,InstructionsPerCycle,0
SM 35,BlockCount,5
SM 22,InstructionsPerCycle,0
SM 38,SPU Instructions,0
Config.DPU,Width,1
SM 41,IMU Instructions,424
SM 3,IMU Instructions,472
SM 43,RegistersWrites,0
SM 6,BRU Instructions,640
SM 28,SFU Instructions,2104
Device,Instructions,0
SM 44,IMU Instructions,424
Config.SPU,ExecutionBufferSize,1
SM 24,RegistersReads,0
SM 4,DPU Instructions,24
SM 32,SPU Instructions,0
SM 35,DPU Instructions,0
SM 28,RegistersWrites,0
SM 14,IMU Instructions,496
SM 10,RegistersReads,0
SM 38,RegistersReads,0
SM 44,InstructionsPerCycle,0
Config.SPU,WriteBufferSize,1
SM 9,SPU Instructions,0
SM 18,LDS Instructions,280
SM 35,SPU Instructions,0
SM 17,RegistersWrites,0
SM 32,DPU Instructions,0
SM 15,RegistersWrites,0
SM 42,InstructionsPerCycle,0
SM 38,BRU Instructions,520
SM 0,BlockCount,6
SM 42,LDS Instructions,248
SM 21,InstructionsPerCycle,0
SM 19,DPU Instructions,24
SM 30,BlockCount,5
SM 34,IMU Instructions,400
SM 32,SFU Instructions,2360
SM 42,SFU Instructions,2696
Config.DPU,ReadLatency,15
SM 2,RegistersReads,0
SM 11,Cycles,50604
Config.DPU,WriteBufferSize,12
SM 24,DPU Instructions,24
SM 34,Cycles,50604
SM 35,BRU Instructions,520
SM 36,InstructionsPerCycle,0
SM 36,BlockCount,5
SM 3,BlockCount,6
SM 12,RegistersReads,0
SM 14,RegistersWrites,0
SM 23,InstructionsPerCycle,0
SM 24,LDS Instructions,280
SM 30,BRU Instructions,400
Config.SPU,ReadBufferSize,1
SM 2,LDS Instructions,288
SM 14,RegistersReads,0
SM 28,BlockCount,5
SM 34,SFU Instructions,2360
SM 37,IMU Instructions,384
SM 35,IMU Instructions,400
SM 6,InstructionsPerCycle,0
SM 23,LDS Instructions,280
SM 39,BRU Instructions,520
SM 0,RegistersWrites,0
SM 37,RegistersWrites,0
SM 27,BRU Instructions,400
SM 3,InstructionsPerCycle,0
SM 40,Cycles,50604
SM 12,BlockCount,6
SM 22,IMU Instructions,416
SM 45,LDS Instructions,248
SM 33,SFU Instructions,2360
SM 14,BlockCount,6
SM 8,SPU Instructions,0
SM 9,RegistersReads,0
SM 38,RegistersWrites,0
SM 28,SPU Instructions,0
SM 45,DPU Instructions,24
Config.SFU,ExecutionLatency,1
SM 5,RegistersReads,0
Config.SFU,ReadBufferSize,1
SM 27,SFU Instructions,2104
Config.SPU,NumSPULanes,32
SM 6,Cycles,50604
SM 11,DPU Instructions,24
SM 1,IMU Instructions,472
SM 37,SFU Instructions,2376
SM 39,SFU Instructions,2376
SM 7,IMU Instructions,536
SM 45,BRU Instructions,544
SM 43,LDS Instructions,248
SM 18,SFU Instructions,2920
SM 45,SPU Instructions,0
SM 16,BRU Instructions,640
SM 2,IMU Instructions,472
SM 21,RegistersWrites,0
SM 25,DPU Instructions,24
SM 3,DPU Instructions,24
SM 8,RegistersWrites,0
SM 14,SFU Instructions,3152
SM 1,InstructionsPerCycle,0
SM 24,IMU Instructions,416
SM 43,SFU Instructions,2696
SM 27,IMU Instructions,328
SM 15,SPU Instructions,0
SM 32,RegistersWrites,0
